case_uid,geometry_id,protocol,fold_name,heldout_geometry,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value
G01_R0114,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.8,0.3,0.0,0.0,11.758,11.683451051046182
G01_R0115,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.75,0.1,0.0,0.0,10.028,9.929860320234274
G01_R0116,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.75,0.2,0.0,0.0,10.797,10.711280792162723
G01_R0117,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.75,0.3,0.0,0.0,11.764,11.689902933531757
G01_R0118,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.7,0.1,0.0,0.0,10.031,9.930684980069238
G01_R0119,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.7,0.2,0.0,0.0,10.802,10.714402911210351
G01_R0120,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.7,0.3,0.0,0.0,11.769,11.691869546626949
G01_R0121,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.85,0.1,0.0,0.0,10.116,10.019416321365473
G01_R0122,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.85,0.2,0.0,0.0,10.913,10.827473098214307
G01_R0123,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.85,0.3,0.0,0.0,11.923,11.851374629464308
G01_R0124,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.8,0.1,0.0,0.0,10.117,10.0194973936869
G01_R0125,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.8,0.2,0.0,0.0,10.914,10.827677601190494
G01_R0126,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.8,0.3,0.0,0.0,11.925,11.851965302083329
G01_R0127,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.75,0.1,0.0,0.0,10.118,10.020066607079736
G01_R0128,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.75,0.2,0.0,0.0,10.916,10.828399690476186
G01_R0129,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.75,0.3,0.0,0.0,11.927,11.854056314980156
G01_R0130,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.7,0.1,0.0,0.0,10.12,10.020063105095607
G01_R0131,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.7,0.2,0.0,0.0,10.917,10.828529744047616
G01_R0132,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.7,0.3,0.0,0.0,11.929,11.854659562499965
G01_R0133,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.85,0.1,0.0,0.0,10.146,10.04800664524702
G01_R0134,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.85,0.2,0.0,0.0,10.95,10.864053463789736
G01_R0135,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.85,0.3,0.0,0.0,11.973,11.90053504365072
G01_R0136,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.8,0.1,0.0,0.0,10.146,10.047875509334322
G01_R0137,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.8,0.2,0.0,0.0,10.951,10.864046710813554
G01_R0138,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.8,0.3,0.0,0.0,11.973,11.90074382787692
G01_R0139,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.75,0.1,0.0,0.0,10.146,10.048012059929569
G01_R0140,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.75,0.2,0.0,0.0,10.951,10.864276752480167
G01_R0141,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.75,0.3,0.0,0.0,11.974,11.901228122835478
G01_R0142,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.7,0.1,0.0,0.0,10.146,10.048111539096237
G01_R0143,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.7,0.2,0.0,0.0,10.951,10.864308198908738
G01_R0144,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.7,0.3,0.0,0.0,11.974,11.901422280573597
G01_R0145,G01,LOGO,holdout_G01,G01,25,50,0.001,0.85,0.1,0.0,0.0,12.563,12.432522234758288
G01_R0146,G01,LOGO,holdout_G01,G01,25,50,0.001,0.85,0.2,0.0,0.0,13.412,13.285371730561105
G01_R0147,G01,LOGO,holdout_G01,G01,25,50,0.001,0.85,0.3,0.0,0.0,14.389,14.276834911571036
G01_R0148,G01,LOGO,holdout_G01,G01,25,50,0.001,0.8,0.1,0.0,0.0,12.57,12.434713760551949
G01_R0149,G01,LOGO,holdout_G01,G01,25,50,0.001,0.8,0.2,0.0,0.0,13.423,13.292374387536087
G01_R0150,G01,LOGO,holdout_G01,G01,25,50,0.001,0.8,0.3,0.0,0.0,14.402,14.28192380542028
G01_R0151,G01,LOGO,holdout_G01,G01,25,50,0.001,0.75,0.1,0.0,0.0,12.578,12.442448284857498
G01_R0152,G01,LOGO,holdout_G01,G01,25,50,0.001,0.75,0.2,0.0,0.0,13.434,13.30507631164324
G01_R0153,G01,LOGO,holdout_G01,G01,25,50,0.001,0.75,0.3,0.0,0.0,14.415,14.299084611607125
G01_R0154,G01,LOGO,holdout_G01,G01,25,50,0.001,0.7,0.1,0.0,0.0,12.587,12.444979917568537
G01_R0155,G01,LOGO,holdout_G01,G01,25,50,0.001,0.7,0.2,0.0,0.0,13.446,13.31164474021465
G01_R0156,G01,LOGO,holdout_G01,G01,25,50,0.001,0.7,0.3,0.0,0.0,14.429,14.309210868551627
G01_R0157,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.85,0.1,0.0,0.0,13.0,12.86910868650795
G01_R0158,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.85,0.2,0.0,0.0,13.954,13.834674299603202
G01_R0159,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.85,0.3,0.0,0.0,15.143,15.034189494408375
G01_R0160,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.8,0.1,0.0,0.0,13.005,12.870737277281757
G01_R0161,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.8,0.2,0.0,0.0,13.959,13.837620400297618
G01_R0162,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.8,0.3,0.0,0.0,15.15,15.036248708694067
G01_R0163,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.75,0.1,0.0,0.0,13.009,12.873899455853186
G01_R0164,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.75,0.2,0.0,0.0,13.964,13.844107990079388
G01_R0165,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.75,0.3,0.0,0.0,15.156,15.044373202876963
G01_R0166,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.7,0.1,0.0,0.0,13.013,12.874824304067458
G01_R0167,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.7,0.2,0.0,0.0,13.97,13.848594972222218
G01_R0168,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.7,0.3,0.0,0.0,15.163,15.046065171626966
G01_R0169,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.85,0.1,0.0,0.0,13.119,12.98551549851194
G01_R0170,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.85,0.2,0.0,0.0,14.107,13.985378935592212
G01_R0171,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.85,0.3,0.0,0.0,15.351,15.240877352182492
G01_R0172,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.8,0.1,0.0,0.0,13.12,12.98566759573416
G01_R0173,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.8,0.2,0.0,0.0,14.108,13.985646137973148
G01_R0174,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.8,0.3,0.0,0.0,15.353,15.241983159045825
G01_R0175,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.75,0.1,0.0,0.0,13.122,12.986303085317497
G01_R0176,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.75,0.2,0.0,0.0,14.11,13.987109667238956
G01_R0177,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.75,0.3,0.0,0.0,15.355,15.24432363672442
G01_R0178,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.7,0.1,0.0,0.0,13.123,12.98644929067464
G01_R0179,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.7,0.2,0.0,0.0,14.112,13.98754601743736
G01_R0180,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.7,0.3,0.0,0.0,15.358,15.244803557855327
G01_R0181,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.85,0.1,0.0,0.0,13.155,13.020655013392982
G01_R0182,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.85,0.2,0.0,0.0,14.153,14.030762468253997
G01_R0183,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.85,0.3,0.0,0.0,15.412,15.302278884559858
G01_R0184,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.8,0.1,0.0,0.0,13.156,13.020786349702512
G01_R0185,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.8,0.2,0.0,0.0,14.154,14.03062003968257
G01_R0186,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.8,0.3,0.0,0.0,15.412,15.302339384559858
G01_R0187,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.75,0.1,0.0,0.0,13.156,13.020994462797765
G01_R0188,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.75,0.2,0.0,0.0,14.154,14.03082324801589
G01_R0189,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.75,0.3,0.0,0.0,15.413,15.302562578012251
G01_R0190,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.7,0.1,0.0,0.0,13.157,13.020830836309663
G01_R0191,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.7,0.2,0.0,0.0,14.154,14.030772935515886
G01_R0192,G01,LOGO,holdout_G01,G01,25,50,1e-06,0.7,0.3,0.0,0.0,15.413,15.302556143488442
G01_R0193,G01,LOGO,holdout_G01,G01,100,3,0.001,0.85,0.1,0.0,0.0,8.6293,8.497231340625024
G01_R0194,G01,LOGO,holdout_G01,G01,100,3,0.001,0.85,0.2,0.0,0.0,9.2588,9.137312818898817
G01_R0195,G01,LOGO,holdout_G01,G01,100,3,0.001,0.85,0.3,0.0,0.0,10.008,9.894683820798951
G01_R0196,G01,LOGO,holdout_G01,G01,100,3,0.001,0.8,0.1,0.0,0.0,8.6367,8.497506112351212
G01_R0197,G01,LOGO,holdout_G01,G01,100,3,0.001,0.8,0.2,0.0,0.0,9.2687,9.139192800446432
G01_R0198,G01,LOGO,holdout_G01,G01,100,3,0.001,0.8,0.3,0.0,0.0,10.02,9.901850855669998
G01_R0199,G01,LOGO,holdout_G01,G01,100,3,0.001,0.75,0.1,0.0,0.0,8.6445,8.500755615525815
G01_R0200,G01,LOGO,holdout_G01,G01,100,3,0.001,0.75,0.2,0.0,0.0,9.2792,9.14702142123016
G01_R0201,G01,LOGO,holdout_G01,G01,100,3,0.001,0.75,0.3,0.0,0.0,10.034,9.913836538740052
G01_R0202,G01,LOGO,holdout_G01,G01,100,3,0.001,0.7,0.1,0.0,0.0,8.6529,8.50097131344248
G01_R0203,G01,LOGO,holdout_G01,G01,100,3,0.001,0.7,0.2,0.0,0.0,9.2905,9.149354240575397
G01_R0204,G01,LOGO,holdout_G01,G01,100,3,0.001,0.7,0.3,0.0,0.0,10.048,9.918369738740056
G01_R0205,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.85,0.1,0.0,0.0,8.9129,8.773433174255933
G01_R0206,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.85,0.2,0.0,0.0,9.6173,9.485571102628986
G01_R0207,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.85,0.3,0.0,0.0,10.531,10.402155131944474
G01_R0208,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.8,0.1,0.0,0.0,8.9161,8.773411305505933
G01_R0209,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.8,0.2,0.0,0.0,9.6216,9.485899038045648
G01_R0210,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.8,0.3,0.0,0.0,10.536,10.402987770337331
G01_R0211,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.75,0.1,0.0,0.0,8.9194,8.774922639434532
G01_R0212,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.75,0.2,0.0,0.0,9.6261,9.487904277777766
G01_R0213,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.75,0.3,0.0,0.0,10.542,10.406315996527804
G01_R0214,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.7,0.1,0.0,0.0,8.9229,8.775027567708342
G01_R0215,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.7,0.2,0.0,0.0,9.6308,9.488073264831336
G01_R0216,G01,LOGO,holdout_G01,G01,100,3,0.0001,0.7,0.3,0.0,0.0,10.548,10.407253389384948
G01_R0217,G01,LOGO,holdout_G01,G01,100,3,1e-05,0.85,0.1,0.0,0.0,8.9919,8.848905708168223
G01_R0218,G01,LOGO,holdout_G01,G01,100,3,1e-05,0.85,0.2,0.0,0.0,9.7152,9.578190160957794
G01_R0219,G01,LOGO,holdout_G01,G01,100,3,1e-05,0.85,0.3,0.0,0.0,10.67,10.545161117559523
G01_R0220,G01,LOGO,holdout_G01,G01,100,3,1e-05,0.8,0.1,0.0,0.0,8.993,8.849041275727743
G01_R0221,G01,LOGO,holdout_G01,G01,100,3,1e-05,0.8,0.2,0.0,0.0,9.7167,9.578253024053032
G01_R0222,G01,LOGO,holdout_G01,G01,100,3,1e-05,0.8,0.3,0.0,0.0,10.672,10.545111760416669
