case_uid,geometry_id,protocol,fold_name,heldout_geometry,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value,residual,abs_error
G01_R0142,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.7,0.1,0.0,0.0,24.55769,24.879041227990943,0.3213512279909452,0.3213512279909452
G01_R0143,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.7,0.2,0.0,0.0,79.27501500000001,79.77386401716612,0.4988490171661084,0.4988490171661084
G01_R0144,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.7,0.3,0.0,0.0,169.13119600000002,169.90931175877034,0.7781157587703262,0.7781157587703262
G01_R0145,G01,LOGO,holdout_G01,G01,25,50,0.001,0.85,0.1,0.0,0.0,3.5391007,3.6462030089405775,0.1071023089405782,0.1071023089405782
G01_R0146,G01,LOGO,holdout_G01,G01,25,50,0.001,0.85,0.2,0.0,0.0,4.931962,5.133931272838455,0.201969272838455,0.201969272838455
G01_R0147,G01,LOGO,holdout_G01,G01,25,50,0.001,0.85,0.3,0.0,0.0,6.9917847,7.355334071000231,0.3635493710002313,0.3635493710002313
G01_R0148,G01,LOGO,holdout_G01,G01,25,50,0.001,0.8,0.1,0.0,0.0,3.5506918,3.6581873330614254,0.1074955330614253,0.1074955330614253
G01_R0149,G01,LOGO,holdout_G01,G01,25,50,0.001,0.8,0.2,0.0,0.0,4.9540439,5.15743046828494,0.2033865682849391,0.2033865682849391
G01_R0150,G01,LOGO,holdout_G01,G01,25,50,0.001,0.8,0.3,0.0,0.0,7.0272847,7.393405687642613,0.3661209876426134,0.3661209876426134
G01_R0151,G01,LOGO,holdout_G01,G01,25,50,0.001,0.75,0.1,0.0,0.0,3.5627573,3.6709578621061216,0.1082005621061217,0.1082005621061217
G01_R0152,G01,LOGO,holdout_G01,G01,25,50,0.001,0.75,0.2,0.0,0.0,4.9773848,5.182059673553335,0.2046748735533343,0.2046748735533343
G01_R0153,G01,LOGO,holdout_G01,G01,25,50,0.001,0.75,0.3,0.0,0.0,7.0650341,7.434818007711964,0.3697839077119642,0.3697839077119642
G01_R0154,G01,LOGO,holdout_G01,G01,25,50,0.001,0.7,0.1,0.0,0.0,3.575394,3.6845746953999714,0.1091806953999712,0.1091806953999712
G01_R0155,G01,LOGO,holdout_G01,G01,25,50,0.001,0.7,0.2,0.0,0.0,5.0019789,5.208452670357223,0.2064737703572232,0.2064737703572232
G01_R0156,G01,LOGO,holdout_G01,G01,25,50,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.477600999554079,0.3722755995540785,0.3722755995540785
G01_R0157,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.85,0.1,0.0,0.0,4.437649,4.59257709417241,0.1549280941724093,0.1549280941724093
G01_R0158,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.85,0.2,0.0,0.0,6.7143536,7.006144680041433,0.2917910800414329,0.2917910800414329
G01_R0159,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.85,0.3,0.0,0.0,10.326261,10.881491522996926,0.5552305229969257,0.5552305229969257
G01_R0160,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.600674041691937,0.1536554416919369,0.1536554416919369
G01_R0161,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,7.021004168258765,0.2894358682587654,0.2894358682587654
G01_R0162,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.8,0.3,0.0,0.0,10.355907,10.907235244895793,0.5513282448957924,0.5513282448957924
G01_R0163,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.611929652117687,0.154965452117687,0.154965452117687
G01_R0164,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.75,0.2,0.0,0.0,6.7501525,7.04090193153464,0.290749431534639,0.290749431534639
G01_R0165,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.75,0.3,0.0,0.0,10.387515,10.941108046779892,0.5535930467798913,0.5535930467798913
G01_R0166,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.621701196755119,0.1542194967551191,0.1542194967551191
G01_R0167,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,7.061059205646876,0.2908582056468765,0.2908582056468765
G01_R0168,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.7,0.3,0.0,0.0,10.422079,10.97721058746884,0.5551315874688392,0.5551315874688392
G01_R0169,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.869853245843737,0.1956093458437369,0.1956093458437369
