case_uid,geometry_id,protocol,fold_name,heldout_geometry,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value,residual,abs_error
G01_R0018,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.3,0.0,0.0,8.4287,8.3859254359668,-0.0427745640331984,0.0427745640331984
G01_R0019,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.1,0.0,0.0,7.0204,6.956019694394858,-0.0643803056051428,0.0643803056051428
G01_R0020,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.2,0.0,0.0,7.6351,7.57843110080717,-0.0566688991928305,0.0566688991928305
G01_R0021,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.3,0.0,0.0,8.4333,8.38832791736563,-0.0449720826343682,0.0449720826343682
G01_R0022,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.1,0.0,0.0,7.0235,6.956386589930573,-0.0671134100694272,0.0671134100694272
G01_R0023,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.2,0.0,0.0,7.6389,7.579177365985742,-0.0597226340142578,0.0597226340142578
G01_R0024,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.3,0.0,0.0,8.4382,8.38942283745492,-0.0487771625450808,0.0487771625450808
G01_R0025,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.1,0.0,0.0,7.0987,7.038185535822498,-0.0605144641775021,0.0605144641775021
G01_R0026,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.2,0.0,0.0,7.7415,7.68869687132938,-0.0528031286706198,0.0528031286706198
G01_R0027,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.3,0.0,0.0,8.5874,8.548579469841261,-0.0388205301587394,0.0388205301587394
G01_R0028,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.1,0.0,0.0,7.0997,7.0381124495129725,-0.0615875504870278,0.0615875504870278
G01_R0029,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.2,0.0,0.0,7.7428,7.6888636157242205,-0.0539363842757794,0.0539363842757794
G01_R0030,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.3,0.0,0.0,8.589,8.548627260466262,-0.0403727395337387,0.0403727395337387
G01_R0031,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.1,0.0,0.0,7.1008,7.038627891477275,-0.0621721085227244,0.0621721085227244
G01_R0032,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.2,0.0,0.0,7.7441,7.68972938710319,-0.0543706128968102,0.0543706128968102
G01_R0033,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.3,0.0,0.0,8.5907,8.549297536755953,-0.0414024632440472,0.0414024632440472
G01_R0034,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.1,0.0,0.0,7.1019,7.038813195941561,-0.0630868040584387,0.0630868040584387
G01_R0035,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.2,0.0,0.0,7.7455,7.69007428293652,-0.0554257170634793,0.0554257170634793
G01_R0036,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.3,0.0,0.0,8.5925,8.54961117842262,-0.0428888215773799,0.0428888215773799
G01_R0037,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.1,0.0,0.0,7.1248,7.062956549156753,-0.0618434508432468,0.0618434508432468
G01_R0038,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.2,0.0,0.0,7.7759,7.723111872111577,-0.052788127888423,0.052788127888423
G01_R0039,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.3,0.0,0.0,8.6348,8.594850619146815,-0.0399493808531854,0.0399493808531854
G01_R0040,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.1,0.0,0.0,7.125,7.062637396329376,-0.0623626036706239,0.0623626036706239
G01_R0041,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.2,0.0,0.0,7.7762,7.7229184202266525,-0.0532815797733476,0.0532815797733476
G01_R0042,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.3,0.0,0.0,8.6351,8.594934058730148,-0.0401659412698514,0.0401659412698514
G01_R0043,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.1,0.0,0.0,7.1253,7.0626944937500165,-0.0626055062499837,0.0626055062499837
G01_R0044,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.2,0.0,0.0,7.7765,7.723167460702838,-0.0533325392971626,0.0533325392971626
G01_R0045,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.3,0.0,0.0,8.6355,8.59516532212301,-0.0403346778769897,0.0403346778769897
G01_R0046,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.1,0.0,0.0,7.1256,7.063042771726206,-0.0625572282737945,0.0625572282737945
G01_R0047,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.2,0.0,0.0,7.7769,7.723385704452834,-0.0535142955471661,0.0535142955471661
G01_R0048,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.3,0.0,0.0,8.6359,8.595296417063487,-0.0406035829365123,0.0406035829365123
G01_R0049,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.1,0.0,0.0,7.3903,7.324760376546719,-0.0655396234532803,0.0655396234532803
G01_R0050,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.2,0.0,0.0,7.9617,7.900749455803578,-0.0609505441964222,0.0609505441964222
G01_R0051,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.3,0.0,0.0,8.624,8.573867257972582,-0.0501327420274186,0.0501327420274186
G01_R0052,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.1,0.0,0.0,7.3954,7.327449012594699,-0.0679509874053012,0.0679509874053012
G01_R0053,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.2,0.0,0.0,7.9689,7.903851993105155,-0.0650480068948446,0.0650480068948446
G01_R0054,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.3,0.0,0.0,8.6324,8.578868415561875,-0.0535315844381258,0.0535315844381258
G01_R0055,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.1,0.0,0.0,7.4006,7.332598603368509,-0.0680013966314909,0.0680013966314909
G01_R0056,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.2,0.0,0.0,7.9764,7.91288386458334,-0.06351613541666,0.06351613541666
G01_R0057,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.3,0.0,0.0,8.6413,8.588746397208677,-0.0525536027913222,0.0525536027913222
G01_R0058,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.1,0.0,0.0,7.4062,7.3352921210272495,-0.0709078789727506,0.0709078789727506
G01_R0059,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.2,0.0,0.0,7.9844,7.91780363625993,-0.0665963637400697,0.0665963637400697
G01_R0060,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.3,0.0,0.0,8.6508,8.594861152132914,-0.0559388478670861,0.0559388478670861
G01_R0061,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.1,0.0,0.0,7.6993,7.635295235195717,-0.0640047648042827,0.0640047648042827
G01_R0062,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.2,0.0,0.0,8.3581,8.305432965724215,-0.0526670342757853,0.0526670342757853
G01_R0063,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.3,0.0,0.0,9.1968,9.15656228259379,-0.0402377174062102,0.0402377174062102
G01_R0064,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.1,0.0,0.0,7.7022,7.635952152259214,-0.0662478477407866,0.0662478477407866
G01_R0065,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.2,0.0,0.0,8.3617,8.306345956299618,-0.0553540437003832,0.0553540437003832
G01_R0066,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.3,0.0,0.0,9.2014,9.15807081533188,-0.0433291846681189,0.0433291846681189
G01_R0067,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.1,0.0,0.0,7.7052,7.637342230781025,-0.0678577692189748,0.0678577692189748
G01_R0068,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.2,0.0,0.0,8.3654,8.309761985714301,-0.055638014285698,0.055638014285698
G01_R0069,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.3,0.0,0.0,9.2061,9.162288691571948,-0.0438113084280509,0.0438113084280509
G01_R0070,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.1,0.0,0.0,7.7083,7.637809725694442,-0.0704902743055582,0.0704902743055582
G01_R0071,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.2,0.0,0.0,8.3694,8.311258921626997,-0.0581410783730032,0.0581410783730032
G01_R0072,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.3,0.0,0.0,9.211,9.163821712554094,-0.0471782874459059,0.0471782874459059
G01_R0073,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.1,0.0,0.0,7.7834,7.718619910072905,-0.0647800899270949,0.0647800899270949
G01_R0074,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.2,0.0,0.0,8.4703,8.41638820634017,-0.0539117936598305,0.0539117936598305
G01_R0075,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.3,0.0,0.0,9.3549,9.314706212152773,-0.0401937878472278,0.0401937878472278
G01_R0076,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.1,0.0,0.0,7.7844,7.718609252186001,-0.0657907478139989,0.0657907478139989
G01_R0077,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.2,0.0,0.0,8.4716,8.416447702768743,-0.0551522972312579,0.0551522972312579
G01_R0078,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.3,0.0,0.0,9.3566,9.31472164131944,-0.0418783586805613,0.0418783586805613
G01_R0079,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.75,0.1,0.0,0.0,7.7854,7.719012519051076,-0.066387480948924,0.066387480948924
G01_R0080,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.75,0.2,0.0,0.0,8.4729,8.416959795080258,-0.0559402049197412,0.0559402049197412
G01_R0081,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.75,0.3,0.0,0.0,9.3582,9.315526636259918,-0.0426733637400822,0.0426733637400822
G01_R0082,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.7,0.1,0.0,0.0,7.7865,7.71923210491417,-0.0672678950858296,0.0672678950858296
G01_R0083,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.7,0.2,0.0,0.0,8.4742,8.4171005645247,-0.0570994354752993,0.0570994354752993
G01_R0084,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.7,0.3,0.0,0.0,9.36,9.31557366929563,-0.0444263307043701,0.0444263307043701
G01_R0085,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.85,0.1,0.0,0.0,7.8095,7.744203093353187,-0.0652969066468127,0.0652969066468127
G01_R0086,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.85,0.2,0.0,0.0,8.5044,8.449485275347222,-0.0549147246527788,0.0549147246527788
G01_R0087,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.85,0.3,0.0,0.0,9.4011,9.35958782718255,-0.0415121728174501,0.0415121728174501
G01_R0088,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.8,0.1,0.0,0.0,7.8097,7.744051263740089,-0.0656487362599111,0.0656487362599111
G01_R0089,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.8,0.2,0.0,0.0,8.5046,8.449487782638887,-0.0551122173611133,0.0551122173611133
G01_R0090,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.8,0.3,0.0,0.0,9.4015,9.359586900099211,-0.0419130999007872,0.0419130999007872
G01_R0091,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.75,0.1,0.0,0.0,7.81,7.744091001686509,-0.0659089983134908,0.0659089983134908
G01_R0092,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.75,0.2,0.0,0.0,8.5049,8.449555651091247,-0.0553443489087523,0.0553443489087523
G01_R0093,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.75,0.3,0.0,0.0,9.4018,9.35970677450396,-0.0420932254960408,0.0420932254960408
G01_R0094,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.7,0.1,0.0,0.0,7.8103,7.744232942906748,-0.0660670570932522,0.0660670570932522
G01_R0095,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.7,0.2,0.0,0.0,8.5053,8.449533906746009,-0.0557660932539914,0.0557660932539914
G01_R0096,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.7,0.3,0.0,0.0,9.4023,9.359750489831336,-0.0425495101686657,0.0425495101686657
G01_R0097,G01,LOGO,holdout_G01,G01,25,20,0.001,0.85,0.1,0.0,0.0,9.6697,9.574120499851206,-0.0955795001487942,0.0955795001487942
G01_R0098,G01,LOGO,holdout_G01,G01,25,20,0.001,0.85,0.2,0.0,0.0,10.35,10.258427949404764,-0.0915720505952357,0.0915720505952357
G01_R0099,G01,LOGO,holdout_G01,G01,25,20,0.001,0.85,0.3,0.0,0.0,11.136,11.060111416350995,-0.0758885836490019,0.0758885836490019
G01_R0100,G01,LOGO,holdout_G01,G01,25,20,0.001,0.8,0.1,0.0,0.0,9.6757,9.577568339484133,-0.0981316605158681,0.0981316605158681
G01_R0101,G01,LOGO,holdout_G01,G01,25,20,0.001,0.8,0.2,0.0,0.0,10.358,10.264478129464283,-0.0935218705357154,0.0935218705357154
G01_R0102,G01,LOGO,holdout_G01,G01,25,20,0.001,0.8,0.3,0.0,0.0,11.146,11.064133978896123,-0.0818660211038775,0.0818660211038775
G01_R0103,G01,LOGO,holdout_G01,G01,25,20,0.001,0.75,0.1,0.0,0.0,9.6819,9.584174137549612,-0.0977258624503889,0.0977258624503889
G01_R0104,G01,LOGO,holdout_G01,G01,25,20,0.001,0.75,0.2,0.0,0.0,10.367,10.275122445436514,-0.0918775545634869,0.0918775545634869
G01_R0105,G01,LOGO,holdout_G01,G01,25,20,0.001,0.75,0.3,0.0,0.0,11.157,11.076394534947708,-0.080605465052292,0.080605465052292
G01_R0106,G01,LOGO,holdout_G01,G01,25,20,0.001,0.7,0.1,0.0,0.0,9.6884,9.586439831944435,-0.1019601680555624,0.1019601680555624
G01_R0107,G01,LOGO,holdout_G01,G01,25,20,0.001,0.7,0.2,0.0,0.0,10.376,10.280543260912715,-0.0954567390872842,0.0954567390872842
G01_R0108,G01,LOGO,holdout_G01,G01,25,20,0.001,0.7,0.3,0.0,0.0,11.168,11.083619992108584,-0.0843800078914149,0.0843800078914149
G01_R0109,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.85,0.1,0.0,0.0,10.021,9.926350089335298,-0.0946499106647031,0.0946499106647031
G01_R0110,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.85,0.2,0.0,0.0,10.789,10.70546954513893,-0.0835304548610693,0.0835304548610693
G01_R0111,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.85,0.3,0.0,0.0,11.753,11.68132274896282,-0.0716772510371797,0.0716772510371797
G01_R0112,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.8,0.1,0.0,0.0,10.024,9.927236155109116,-0.0967638448908818,0.0967638448908818
G01_R0113,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.8,0.2,0.0,0.0,10.793,10.706606662698446,-0.086393337301553,0.086393337301553
G01_R0114,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.8,0.3,0.0,0.0,11.758,11.683451051046182,-0.0745489489538169,0.0745489489538169
G01_R0115,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.75,0.1,0.0,0.0,10.028,9.929860320234274,-0.0981396797657261,0.0981396797657261
G01_R0116,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.75,0.2,0.0,0.0,10.797,10.711280792162723,-0.0857192078372754,0.0857192078372754
G01_R0117,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.75,0.3,0.0,0.0,11.764,11.689902933531757,-0.0740970664682443,0.0740970664682443
G01_R0118,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.7,0.1,0.0,0.0,10.031,9.930684980069238,-0.1003150199307629,0.1003150199307629
G01_R0119,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.7,0.2,0.0,0.0,10.802,10.714402911210351,-0.0875970887896482,0.0875970887896482
G01_R0120,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.7,0.3,0.0,0.0,11.769,11.691869546626949,-0.0771304533730532,0.0771304533730532
G01_R0121,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.85,0.1,0.0,0.0,10.116,10.019416321365473,-0.0965836786345271,0.0965836786345271
G01_R0122,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.85,0.2,0.0,0.0,10.913,10.827473098214307,-0.085526901785693,0.085526901785693
G01_R0123,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.85,0.3,0.0,0.0,11.923,11.851374629464308,-0.0716253705356919,0.0716253705356919
G01_R0124,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.8,0.1,0.0,0.0,10.117,10.0194973936869,-0.0975026063130997,0.0975026063130997
G01_R0125,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.8,0.2,0.0,0.0,10.914,10.827677601190494,-0.0863223988095054,0.0863223988095054
G01_R0126,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.8,0.3,0.0,0.0,11.925,11.851965302083329,-0.0730346979166736,0.0730346979166736
G01_R0127,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.75,0.1,0.0,0.0,10.118,10.020066607079736,-0.0979333929202646,0.0979333929202646
G01_R0128,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.75,0.2,0.0,0.0,10.916,10.828399690476186,-0.0876003095238147,0.0876003095238147
G01_R0129,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.75,0.3,0.0,0.0,11.927,11.854056314980156,-0.0729436850198421,0.0729436850198421
G01_R0130,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.7,0.1,0.0,0.0,10.12,10.020063105095607,-0.0999368949043919,0.0999368949043919
G01_R0131,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.7,0.2,0.0,0.0,10.917,10.828529744047616,-0.0884702559523837,0.0884702559523837
G01_R0132,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.7,0.3,0.0,0.0,11.929,11.854659562499965,-0.0743404375000373,0.0743404375000373
G01_R0133,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.85,0.1,0.0,0.0,10.146,10.04800664524702,-0.0979933547529796,0.0979933547529796
G01_R0134,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.85,0.2,0.0,0.0,10.95,10.864053463789736,-0.0859465362102618,0.0859465362102618
G01_R0135,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.85,0.3,0.0,0.0,11.973,11.90053504365072,-0.0724649563492807,0.0724649563492807
G01_R0136,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.8,0.1,0.0,0.0,10.146,10.047875509334322,-0.098124490665679,0.098124490665679
G01_R0137,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.8,0.2,0.0,0.0,10.951,10.864046710813554,-0.0869532891864466,0.0869532891864466
G01_R0138,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.8,0.3,0.0,0.0,11.973,11.90074382787692,-0.0722561721230814,0.0722561721230814
G01_R0139,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.75,0.1,0.0,0.0,10.146,10.048012059929569,-0.0979879400704337,0.0979879400704337
G01_R0140,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.75,0.2,0.0,0.0,10.951,10.864276752480167,-0.0867232475198314,0.0867232475198314
G01_R0141,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.75,0.3,0.0,0.0,11.974,11.901228122835478,-0.0727718771645218,0.0727718771645218
G01_R0142,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.7,0.1,0.0,0.0,10.146,10.048111539096237,-0.097888460903766,0.097888460903766
G01_R0143,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.7,0.2,0.0,0.0,10.951,10.864308198908738,-0.0866918010912627,0.0866918010912627
G01_R0144,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.7,0.3,0.0,0.0,11.974,11.901422280573597,-0.0725777194264036,0.0725777194264036
G01_R0145,G01,LOGO,holdout_G01,G01,25,50,0.001,0.85,0.1,0.0,0.0,12.563,12.432522234758288,-0.1304777652417126,0.1304777652417126
G01_R0146,G01,LOGO,holdout_G01,G01,25,50,0.001,0.85,0.2,0.0,0.0,13.412,13.285371730561105,-0.126628269438898,0.126628269438898
G01_R0147,G01,LOGO,holdout_G01,G01,25,50,0.001,0.85,0.3,0.0,0.0,14.389,14.276834911571036,-0.1121650884289628,0.1121650884289628
G01_R0148,G01,LOGO,holdout_G01,G01,25,50,0.001,0.8,0.1,0.0,0.0,12.57,12.434713760551949,-0.1352862394480531,0.1352862394480531
G01_R0149,G01,LOGO,holdout_G01,G01,25,50,0.001,0.8,0.2,0.0,0.0,13.423,13.292374387536087,-0.1306256124639127,0.1306256124639127
G01_R0150,G01,LOGO,holdout_G01,G01,25,50,0.001,0.8,0.3,0.0,0.0,14.402,14.28192380542028,-0.1200761945797186,0.1200761945797186
G01_R0151,G01,LOGO,holdout_G01,G01,25,50,0.001,0.75,0.1,0.0,0.0,12.578,12.442448284857498,-0.1355517151425012,0.1355517151425012
G01_R0152,G01,LOGO,holdout_G01,G01,25,50,0.001,0.75,0.2,0.0,0.0,13.434,13.30507631164324,-0.1289236883567603,0.1289236883567603
G01_R0153,G01,LOGO,holdout_G01,G01,25,50,0.001,0.75,0.3,0.0,0.0,14.415,14.299084611607125,-0.1159153883928745,0.1159153883928745
G01_R0154,G01,LOGO,holdout_G01,G01,25,50,0.001,0.7,0.1,0.0,0.0,12.587,12.444979917568537,-0.1420200824314648,0.1420200824314648
G01_R0155,G01,LOGO,holdout_G01,G01,25,50,0.001,0.7,0.2,0.0,0.0,13.446,13.31164474021465,-0.1343552597853499,0.1343552597853499
G01_R0156,G01,LOGO,holdout_G01,G01,25,50,0.001,0.7,0.3,0.0,0.0,14.429,14.309210868551627,-0.119789131448373,0.119789131448373
G01_R0157,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.85,0.1,0.0,0.0,13.0,12.86910868650795,-0.1308913134920502,0.1308913134920502
G01_R0158,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.85,0.2,0.0,0.0,13.954,13.834674299603202,-0.1193257003967982,0.1193257003967982
G01_R0159,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.85,0.3,0.0,0.0,15.143,15.034189494408375,-0.1088105055916237,0.1088105055916237
G01_R0160,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.8,0.1,0.0,0.0,13.005,12.870737277281757,-0.1342627227182458,0.1342627227182458
G01_R0161,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.8,0.2,0.0,0.0,13.959,13.837620400297618,-0.1213795997023812,0.1213795997023812
G01_R0162,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.8,0.3,0.0,0.0,15.15,15.036248708694067,-0.1137512913059328,0.1137512913059328
G01_R0163,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.75,0.1,0.0,0.0,13.009,12.873899455853186,-0.1351005441468142,0.1351005441468142
G01_R0164,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.75,0.2,0.0,0.0,13.964,13.844107990079388,-0.1198920099206137,0.1198920099206137
G01_R0165,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.75,0.3,0.0,0.0,15.156,15.044373202876963,-0.1116267971230353,0.1116267971230353
G01_R0166,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.7,0.1,0.0,0.0,13.013,12.874824304067458,-0.1381756959325422,0.1381756959325422
G01_R0167,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.7,0.2,0.0,0.0,13.97,13.848594972222218,-0.1214050277777829,0.1214050277777829
G01_R0168,G01,LOGO,holdout_G01,G01,25,50,0.0001,0.7,0.3,0.0,0.0,15.163,15.046065171626966,-0.1169348283730347,0.1169348283730347
G01_R0169,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.85,0.1,0.0,0.0,13.119,12.98551549851194,-0.133484501488061,0.133484501488061
G01_R0170,G01,LOGO,holdout_G01,G01,25,50,1e-05,0.85,0.2,0.0,0.0,14.107,13.985378935592212,-0.1216210644077868,0.1216210644077868
