case_uid,geometry_id,split,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value,residual,abs_error
G01_R0030,G01,test,25,3,1e-05,0.8,0.3,0.0,0.0,8.589,8.56871577698413,-0.0202842230158708,0.0202842230158708
G01_R0031,G01,train,25,3,1e-05,0.75,0.1,0.0,0.0,7.1008,7.104832899621212,0.0040328996212126,0.0040328996212126
G01_R0032,G01,train,25,3,1e-05,0.75,0.2,0.0,0.0,7.7441,7.737628835569297,-0.0064711644307031,0.0064711644307031
G01_R0033,G01,train,25,3,1e-05,0.75,0.3,0.0,0.0,8.5907,8.577873758432542,-0.012826241567458,0.012826241567458
G01_R0034,G01,test,25,3,1e-05,0.7,0.1,0.0,0.0,7.1019,7.104841176406927,0.0029411764069271,0.0029411764069271
G01_R0035,G01,train,25,3,1e-05,0.7,0.2,0.0,0.0,7.7455,7.738222653426442,-0.0072773465735576,0.0072773465735576
G01_R0036,G01,train,25,3,1e-05,0.7,0.3,0.0,0.0,8.5925,8.579920397619048,-0.012579602380951,0.012579602380951
G01_R0037,G01,train,25,3,1e-06,0.85,0.1,0.0,0.0,7.1248,7.1171372285714325,-0.007662771428567,0.007662771428567
G01_R0038,G01,train,25,3,1e-06,0.85,0.2,0.0,0.0,7.7759,7.76506369568452,-0.0108363043154797,0.0108363043154797
G01_R0039,G01,train,25,3,1e-06,0.85,0.3,0.0,0.0,8.6348,8.62982966537697,-0.0049703346230298,0.0049703346230298
G01_R0040,G01,train,25,3,1e-06,0.8,0.1,0.0,0.0,7.125,7.1172221889881,-0.0077778110119002,0.0077778110119002
G01_R0041,G01,train,25,3,1e-06,0.8,0.2,0.0,0.0,7.7762,7.763651277033722,-0.0125487229662786,0.0125487229662786
G01_R0042,G01,train,25,3,1e-06,0.8,0.3,0.0,0.0,8.6351,8.629853049156734,-0.005246950843265,0.005246950843265
G01_R0043,G01,train,25,3,1e-06,0.75,0.1,0.0,0.0,7.1253,7.11704026607143,-0.0082597339285701,0.0082597339285701
G01_R0044,G01,test,25,3,1e-06,0.75,0.2,0.0,0.0,7.7765,7.764570567807528,-0.0119294321924723,0.0119294321924723
G01_R0045,G01,train,25,3,1e-06,0.75,0.3,0.0,0.0,8.6355,8.630487972668636,-0.0050120273313645,0.0050120273313645
G01_R0046,G01,test,25,3,1e-06,0.7,0.1,0.0,0.0,7.1256,7.117005397023811,-0.0085946029761894,0.0085946029761894
G01_R0047,G01,train,25,3,1e-06,0.7,0.2,0.0,0.0,7.7769,7.76387965411705,-0.0130203458829498,0.0130203458829498
G01_R0048,G01,train,25,3,1e-06,0.7,0.3,0.0,0.0,8.6359,8.630999667906726,-0.004900332093273,0.004900332093273
G01_R0049,G01,train,25,6,0.001,0.85,0.1,0.0,0.0,7.3903,7.379410961656743,-0.0108890383432571,0.0108890383432571
G01_R0050,G01,train,25,6,0.001,0.85,0.2,0.0,0.0,7.9617,7.961746706795618,4.670679561780133e-05,4.670679561780133e-05
G01_R0051,G01,train,25,6,0.001,0.85,0.3,0.0,0.0,8.624,8.624244374625738,0.000244374625737,0.000244374625737
G01_R0052,G01,test,25,6,0.001,0.8,0.1,0.0,0.0,7.3954,7.378422573164681,-0.0169774268353197,0.0169774268353197
G01_R0053,G01,train,25,6,0.001,0.8,0.2,0.0,0.0,7.9689,7.962012141914665,-0.0068878580853342,0.0068878580853342
G01_R0054,G01,train,25,6,0.001,0.8,0.3,0.0,0.0,8.6324,8.625059332959074,-0.0073406670409266,0.0073406670409266
G01_R0055,G01,train,25,6,0.001,0.75,0.1,0.0,0.0,7.4006,7.381915705952378,-0.0186842940476221,0.0186842940476221
G01_R0056,G01,train,25,6,0.001,0.75,0.2,0.0,0.0,7.9764,7.966463172073403,-0.0099368279265972,0.0099368279265972
G01_R0057,G01,train,25,6,0.001,0.75,0.3,0.0,0.0,8.6413,8.631904173088023,-0.0093958269119767,0.0093958269119767
G01_R0058,G01,train,25,6,0.001,0.7,0.1,0.0,0.0,7.4062,7.384141426835317,-0.0220585731646831,0.0220585731646831
G01_R0059,G01,train,25,6,0.001,0.7,0.2,0.0,0.0,7.9844,7.968243918055549,-0.0161560819444508,0.0161560819444508
G01_R0060,G01,train,25,6,0.001,0.7,0.3,0.0,0.0,8.6508,8.632697317978895,-0.0181026820211052,0.0181026820211052
G01_R0061,G01,train,25,6,0.0001,0.85,0.1,0.0,0.0,7.6993,7.6878463675099376,-0.0114536324900624,0.0114536324900624
G01_R0062,G01,test,25,6,0.0001,0.85,0.2,0.0,0.0,8.3581,8.337408228869055,-0.0206917711309451,0.0206917711309451
G01_R0063,G01,train,25,6,0.0001,0.85,0.3,0.0,0.0,9.1968,9.198173439136912,0.0013734391369126,0.0013734391369126
G01_R0064,G01,train,25,6,0.0001,0.8,0.1,0.0,0.0,7.7022,7.688163679712312,-0.0140363202876878,0.0140363202876878
G01_R0065,G01,train,25,6,0.0001,0.8,0.2,0.0,0.0,8.3617,8.338168709226196,-0.0235312907738052,0.0235312907738052
G01_R0066,G01,train,25,6,0.0001,0.8,0.3,0.0,0.0,9.2014,9.19786430550596,-0.0035356944940403,0.0035356944940403
G01_R0067,G01,train,25,6,0.0001,0.75,0.1,0.0,0.0,7.7052,7.68773894310517,-0.0174610568948292,0.0174610568948292
G01_R0068,G01,train,25,6,0.0001,0.75,0.2,0.0,0.0,8.3654,8.340684565178583,-0.0247154348214166,0.0247154348214166
G01_R0069,G01,train,25,6,0.0001,0.75,0.3,0.0,0.0,9.2061,9.199441522619068,-0.006658477380931,0.006658477380931
G01_R0070,G01,test,25,6,0.0001,0.7,0.1,0.0,0.0,7.7083,7.686469002480173,-0.0218309975198272,0.0218309975198272
G01_R0071,G01,test,25,6,0.0001,0.7,0.2,0.0,0.0,8.3694,8.341598493551599,-0.0278015064484016,0.0278015064484016
G01_R0072,G01,train,25,6,0.0001,0.7,0.3,0.0,0.0,9.211,9.200604709226214,-0.0103952907737863,0.0103952907737863
G01_R0073,G01,train,25,6,1e-05,0.85,0.1,0.0,0.0,7.7834,7.787462630307544,0.0040626303075441,0.0040626303075441
G01_R0074,G01,test,25,6,1e-05,0.85,0.2,0.0,0.0,8.4703,8.456597744146817,-0.0137022558531825,0.0137022558531825
G01_R0075,G01,train,25,6,1e-05,0.85,0.3,0.0,0.0,9.3549,9.3501314946564,-0.0047685053436019,0.0047685053436019
G01_R0076,G01,train,25,6,1e-05,0.8,0.1,0.0,0.0,7.7844,7.787683513244055,0.0032835132440549,0.0032835132440549
G01_R0077,G01,train,25,6,1e-05,0.8,0.2,0.0,0.0,8.4716,8.45827834102182,-0.0133216589781799,0.0133216589781799
G01_R0078,G01,train,25,6,1e-05,0.8,0.3,0.0,0.0,9.3566,9.350159296739731,-0.0064407032602673,0.0064407032602673
G01_R0079,G01,train,25,6,1e-05,0.75,0.1,0.0,0.0,7.7854,7.785670814980177,0.0002708149801771,0.0002708149801771
G01_R0080,G01,test,25,6,1e-05,0.75,0.2,0.0,0.0,8.4729,8.45735786111111,-0.0155421388888896,0.0155421388888896
G01_R0081,G01,test,25,6,1e-05,0.75,0.3,0.0,0.0,9.3582,9.348260082503623,-0.0099399174963767,0.0099399174963767
G01_R0082,G01,train,25,6,1e-05,0.7,0.1,0.0,0.0,7.7865,7.785678087003987,-0.0008219129960131,0.0008219129960131
G01_R0083,G01,train,25,6,1e-05,0.7,0.2,0.0,0.0,8.4742,8.45969872429202,-0.01450127570798,0.01450127570798
G01_R0084,G01,train,25,6,1e-05,0.7,0.3,0.0,0.0,9.36,9.349132234586952,-0.0108677654130477,0.0108677654130477
G01_R0085,G01,test,25,6,1e-06,0.85,0.1,0.0,0.0,7.8095,7.788208694593255,-0.0212913054067449,0.0212913054067449
G01_R0086,G01,train,25,6,1e-06,0.85,0.2,0.0,0.0,8.5044,8.498459604901699,-0.0059403950983014,0.0059403950983014
G01_R0087,G01,train,25,6,1e-06,0.85,0.3,0.0,0.0,9.4011,9.391182129216263,-0.0099178707837346,0.0099178707837346
G01_R0088,G01,train,25,6,1e-06,0.8,0.1,0.0,0.0,7.8097,7.788704741517862,-0.020995258482138,0.020995258482138
G01_R0089,G01,train,25,6,1e-06,0.8,0.2,0.0,0.0,8.5046,8.499151380199319,-0.0054486198006813,0.0054486198006813
G01_R0090,G01,train,25,6,1e-06,0.8,0.3,0.0,0.0,9.4015,9.391014254017852,-0.0104857459821481,0.0104857459821481
G01_R0091,G01,test,25,6,1e-06,0.75,0.1,0.0,0.0,7.81,7.786257450992078,-0.0237425490079212,0.0237425490079212
G01_R0092,G01,train,25,6,1e-06,0.75,0.2,0.0,0.0,8.5049,8.499391941833515,-0.0055080581664839,0.0055080581664839
G01_R0093,G01,train,25,6,1e-06,0.75,0.3,0.0,0.0,9.4018,9.39062319107142,-0.0111768089285799,0.0111768089285799
G01_R0094,G01,test,25,6,1e-06,0.7,0.1,0.0,0.0,7.8103,7.786482711408745,-0.023817288591255,0.023817288591255
G01_R0095,G01,train,25,6,1e-06,0.7,0.2,0.0,0.0,8.5053,8.499179584492248,-0.0061204155077518,0.0061204155077518
G01_R0096,G01,test,25,6,1e-06,0.7,0.3,0.0,0.0,9.4023,9.390223017261889,-0.0120769827381117,0.0120769827381117
G01_R0097,G01,test,25,20,0.001,0.85,0.1,0.0,0.0,9.6697,9.621684643452388,-0.0480153565476122,0.0480153565476122
G01_R0098,G01,train,25,20,0.001,0.85,0.2,0.0,0.0,10.35,10.334112882034638,-0.0158871179653612,0.0158871179653612
G01_R0099,G01,train,25,20,0.001,0.85,0.3,0.0,0.0,11.136,11.140912791666668,0.0049127916666673,0.0049127916666673
G01_R0100,G01,test,25,20,0.001,0.8,0.1,0.0,0.0,9.6757,9.622779699702388,-0.0529203002976128,0.0529203002976128
G01_R0101,G01,test,25,20,0.001,0.8,0.2,0.0,0.0,10.358,10.333875880050511,-0.024124119949489,0.024124119949489
G01_R0102,G01,train,25,20,0.001,0.8,0.3,0.0,0.0,11.146,11.14238963392858,-0.0036103660714221,0.0036103660714221
G01_R0103,G01,train,25,20,0.001,0.75,0.1,0.0,0.0,9.6819,9.634308996825403,-0.0475910031745954,0.0475910031745954
G01_R0104,G01,train,25,20,0.001,0.75,0.2,0.0,0.0,10.367,10.341177152371936,-0.0258228476280635,0.0258228476280635
G01_R0105,G01,train,25,20,0.001,0.75,0.3,0.0,0.0,11.157,11.14087166021828,-0.0161283397817211,0.0161283397817211
G01_R0106,G01,train,25,20,0.001,0.7,0.1,0.0,0.0,9.6884,9.642360605253428,-0.0460393947465718,0.0460393947465718
G01_R0107,G01,train,25,20,0.001,0.7,0.2,0.0,0.0,10.376,10.345316636814571,-0.0306833631854281,0.0306833631854281
G01_R0108,G01,train,25,20,0.001,0.7,0.3,0.0,0.0,11.168,11.1421212792659,-0.0258787207340986,0.0258787207340986
G01_R0109,G01,train,25,20,0.0001,0.85,0.1,0.0,0.0,10.021,10.00250784613096,-0.0184921538690403,0.0184921538690403
G01_R0110,G01,test,25,20,0.0001,0.85,0.2,0.0,0.0,10.789,10.774854665369366,-0.0141453346306335,0.0141453346306335
G01_R0111,G01,train,25,20,0.0001,0.85,0.3,0.0,0.0,11.753,11.74091864880952,-0.0120813511904795,0.0120813511904795
G01_R0112,G01,test,25,20,0.0001,0.8,0.1,0.0,0.0,10.024,10.002233008630965,-0.0217669913690361,0.0217669913690361
G01_R0113,G01,train,25,20,0.0001,0.8,0.2,0.0,0.0,10.793,10.775575201083653,-0.0174247989163465,0.0174247989163465
G01_R0114,G01,test,25,20,0.0001,0.8,0.3,0.0,0.0,11.758,11.74277970337301,-0.0152202966269889,0.0152202966269889
G01_R0115,G01,train,25,20,0.0001,0.75,0.1,0.0,0.0,10.028,10.003076998214295,-0.0249230017857033,0.0249230017857033
G01_R0116,G01,train,25,20,0.0001,0.75,0.2,0.0,0.0,10.797,10.776009162889205,-0.020990837110796,0.020990837110796
G01_R0117,G01,train,25,20,0.0001,0.75,0.3,0.0,0.0,11.764,11.745945381944429,-0.0180546180555722,0.0180546180555722
G01_R0118,G01,train,25,20,0.0001,0.7,0.1,0.0,0.0,10.031,10.005238326785731,-0.0257616732142693,0.0257616732142693
G01_R0119,G01,train,25,20,0.0001,0.7,0.2,0.0,0.0,10.802,10.777763788385233,-0.0242362116147667,0.0242362116147667
G01_R0120,G01,train,25,20,0.0001,0.7,0.3,0.0,0.0,11.769,11.74743364583331,-0.0215663541666906,0.0215663541666906
G01_R0121,G01,test,25,20,1e-05,0.85,0.1,0.0,0.0,10.116,10.118973711084031,0.0029737110840333,0.0029737110840333
G01_R0122,G01,train,25,20,1e-05,0.85,0.2,0.0,0.0,10.913,10.918364444760067,0.0053644447600671,0.0053644447600671
G01_R0123,G01,test,25,20,1e-05,0.85,0.3,0.0,0.0,11.923,11.924722843253935,0.0017228432539351,0.0017228432539351
G01_R0124,G01,train,25,20,1e-05,0.8,0.1,0.0,0.0,10.117,10.119462231917366,0.0024622319173648,0.0024622319173648
G01_R0125,G01,train,25,20,1e-05,0.8,0.2,0.0,0.0,10.914,10.917777819760072,0.0037778197600726,0.0037778197600726
G01_R0126,G01,train,25,20,1e-05,0.8,0.3,0.0,0.0,11.925,11.926993861111068,0.0019938611110674,0.0019938611110674
G01_R0127,G01,train,25,20,1e-05,0.75,0.1,0.0,0.0,10.118,10.11943482715546,0.0014348271554602,0.0014348271554602
G01_R0128,G01,train,25,20,1e-05,0.75,0.2,0.0,0.0,10.916,10.917726833152956,0.001726833152956,0.001726833152956
G01_R0129,G01,train,25,20,1e-05,0.75,0.3,0.0,0.0,11.927,11.927612515872974,0.0006125158729748,0.0006125158729748
G01_R0130,G01,train,25,20,1e-05,0.7,0.1,0.0,0.0,10.12,10.120258410488782,0.000258410488783,0.000258410488783
G01_R0131,G01,train,25,20,1e-05,0.7,0.2,0.0,0.0,10.917,10.91837265458153,0.0013726545815302,0.0013726545815302
G01_R0132,G01,train,25,20,1e-05,0.7,0.3,0.0,0.0,11.929,11.927895096230118,-0.0011049037698818,0.0011049037698818
G01_R0133,G01,test,25,20,1e-06,0.85,0.1,0.0,0.0,10.146,10.128945099972896,-0.0170549000271034,0.0170549000271034
G01_R0134,G01,train,25,20,1e-06,0.85,0.2,0.0,0.0,10.95,10.941040956168813,-0.0089590438311866,0.0089590438311866
G01_R0135,G01,test,25,20,1e-06,0.85,0.3,0.0,0.0,11.973,11.957932717261924,-0.0150672827380766,0.0150672827380766
G01_R0136,G01,test,25,20,1e-06,0.8,0.1,0.0,0.0,10.146,10.129149037472896,-0.0168509625271049,0.0168509625271049
G01_R0137,G01,train,25,20,1e-06,0.8,0.2,0.0,0.0,10.951,10.940638810335484,-0.0103611896645166,0.0103611896645166
G01_R0138,G01,train,25,20,1e-06,0.8,0.3,0.0,0.0,11.973,11.95911009226192,-0.0138899077380809,0.0138899077380809
G01_R0139,G01,train,25,20,1e-06,0.75,0.1,0.0,0.0,10.146,10.129704908504642,-0.0162950914953583,0.0162950914953583
G01_R0140,G01,test,25,20,1e-06,0.75,0.2,0.0,0.0,10.951,10.940315564799771,-0.0106844352002273,0.0106844352002273
G01_R0141,G01,train,25,20,1e-06,0.75,0.3,0.0,0.0,11.974,11.959869389880977,-0.0141306101190252,0.0141306101190252
G01_R0142,G01,train,25,20,1e-06,0.7,0.1,0.0,0.0,10.146,10.130471887671298,-0.0155281123287025,0.0155281123287025
G01_R0143,G01,train,25,20,1e-06,0.7,0.2,0.0,0.0,10.951,10.940923421942635,-0.0100765780573652,0.0100765780573652
G01_R0144,G01,train,25,20,1e-06,0.7,0.3,0.0,0.0,11.974,11.960641931547638,-0.0133580684523622,0.0133580684523622
G01_R0145,G01,test,25,50,0.001,0.85,0.1,0.0,0.0,12.563,12.501539500992042,-0.0614604990079588,0.0614604990079588
G01_R0146,G01,train,25,50,0.001,0.85,0.2,0.0,0.0,13.412,13.39204842162696,-0.0199515783730408,0.0199515783730408
G01_R0147,G01,train,25,50,0.001,0.85,0.3,0.0,0.0,14.389,14.341005304067435,-0.0479946959325641,0.0479946959325641
G01_R0148,G01,train,25,50,0.001,0.8,0.1,0.0,0.0,12.57,12.510168105654744,-0.0598318943452564,0.0598318943452564
G01_R0149,G01,train,25,50,0.001,0.8,0.2,0.0,0.0,13.423,13.392468984126966,-0.0305310158730343,0.0305310158730343
G01_R0150,G01,test,25,50,0.001,0.8,0.3,0.0,0.0,14.402,14.336824567956324,-0.0651754320436754,0.0651754320436754
G01_R0151,G01,test,25,50,0.001,0.75,0.1,0.0,0.0,12.578,12.506539782738068,-0.0714602172619311,0.0714602172619311
G01_R0152,G01,test,25,50,0.001,0.75,0.2,0.0,0.0,13.434,13.3940977266865,-0.0399022733134994,0.0399022733134994
G01_R0153,G01,test,25,50,0.001,0.75,0.3,0.0,0.0,14.415,14.343120625992013,-0.0718793740079863,0.0718793740079863
G01_R0154,G01,train,25,50,0.001,0.7,0.1,0.0,0.0,12.587,12.517955305059491,-0.0690446949405068,0.0690446949405068
G01_R0155,G01,train,25,50,0.001,0.7,0.2,0.0,0.0,13.446,13.400844589781748,-0.0451554102182516,0.0451554102182516
G01_R0156,G01,train,25,50,0.001,0.7,0.3,0.0,0.0,14.429,14.36231721924599,-0.0666827807540109,0.0666827807540109
G01_R0157,G01,train,25,50,0.0001,0.85,0.1,0.0,0.0,13.0,12.992658032467556,-0.0073419675324437,0.0073419675324437
G01_R0158,G01,test,25,50,0.0001,0.85,0.2,0.0,0.0,13.954,13.893744921130931,-0.0602550788690674,0.0602550788690674
G01_R0159,G01,train,25,50,0.0001,0.85,0.3,0.0,0.0,15.143,15.132742523809512,-0.0102574761904872,0.0102574761904872
G01_R0160,G01,train,25,50,0.0001,0.8,0.1,0.0,0.0,13.005,12.992098740800886,-0.0129012591991148,0.0129012591991148
G01_R0161,G01,train,25,50,0.0001,0.8,0.2,0.0,0.0,13.959,13.902894935019818,-0.0561050649801817,0.0561050649801817
G01_R0162,G01,train,25,50,0.0001,0.8,0.3,0.0,0.0,15.15,15.134612908730151,-0.015387091269849,0.015387091269849
G01_R0163,G01,train,25,50,0.0001,0.75,0.1,0.0,0.0,13.009,12.994034816197718,-0.0149651838022819,0.0149651838022819
G01_R0164,G01,train,25,50,0.0001,0.75,0.2,0.0,0.0,13.964,13.911380360615054,-0.0526196393849467,0.0526196393849467
G01_R0165,G01,train,25,50,0.0001,0.75,0.3,0.0,0.0,15.156,15.141197088293634,-0.0148029117063668,0.0148029117063668
G01_R0166,G01,train,25,50,0.0001,0.7,0.1,0.0,0.0,13.013,12.994520039412002,-0.0184799605879977,0.0184799605879977
G01_R0167,G01,test,25,50,0.0001,0.7,0.2,0.0,0.0,13.97,13.910651699900766,-0.0593483000992343,0.0593483000992343
G01_R0168,G01,train,25,50,0.0001,0.7,0.3,0.0,0.0,15.163,15.14189037847221,-0.0211096215277901,0.0211096215277901
G01_R0169,G01,test,25,50,1e-05,0.85,0.1,0.0,0.0,13.119,13.123359417162671,0.0043594171626732,0.0043594171626732
G01_R0170,G01,train,25,50,1e-05,0.85,0.2,0.0,0.0,14.107,14.115611230429318,0.0086112304293184,0.0086112304293184
G01_R0171,G01,train,25,50,1e-05,0.85,0.3,0.0,0.0,15.351,15.353717327876968,0.0027173278769669,0.0027173278769669
G01_R0172,G01,train,25,50,1e-05,0.8,0.1,0.0,0.0,13.12,13.12376412549601,0.0037641254960103,0.0037641254960103
G01_R0173,G01,train,25,50,1e-05,0.8,0.2,0.0,0.0,14.108,14.115725022096004,0.0077250220960021,0.0077250220960021
G01_R0174,G01,train,25,50,1e-05,0.8,0.3,0.0,0.0,15.353,15.352497041666652,-0.0005029583333477,0.0005029583333477
G01_R0175,G01,train,25,50,1e-05,0.75,0.1,0.0,0.0,13.122,13.125493190972184,0.0034931909721844,0.0034931909721844
G01_R0176,G01,test,25,50,1e-05,0.75,0.2,0.0,0.0,14.11,14.117434084596004,0.0074340845960048,0.0074340845960048
G01_R0177,G01,train,25,50,1e-05,0.75,0.3,0.0,0.0,15.355,15.35334007638888,-0.0016599236111218,0.0016599236111218
G01_R0178,G01,test,25,50,1e-05,0.7,0.1,0.0,0.0,13.123,13.125411732638849,0.0024117326388495,0.0024117326388495
G01_R0179,G01,train,25,50,1e-05,0.7,0.2,0.0,0.0,14.112,14.117078417929331,0.0050784179293312,0.0050784179293312
G01_R0180,G01,test,25,50,1e-05,0.7,0.3,0.0,0.0,15.358,15.352604501984104,-0.005395498015897,0.005395498015897
G01_R0181,G01,test,25,50,1e-06,0.85,0.1,0.0,0.0,13.155,13.139383586805534,-0.0156164131944649,0.0156164131944649
G01_R0182,G01,train,25,50,1e-06,0.85,0.2,0.0,0.0,14.153,14.13837290476197,-0.0146270952380298,0.0146270952380298
G01_R0183,G01,train,25,50,1e-06,0.85,0.3,0.0,0.0,15.412,15.382915156250023,-0.0290848437499775,0.0290848437499775
G01_R0184,G01,train,25,50,1e-06,0.8,0.1,0.0,0.0,13.156,13.139620211805536,-0.0163797881944649,0.0163797881944649
G01_R0185,G01,test,25,50,1e-06,0.8,0.2,0.0,0.0,14.154,14.138239633928654,-0.0157603660713459,0.0157603660713459
G01_R0186,G01,train,25,50,1e-06,0.8,0.3,0.0,0.0,15.412,15.380497342261924,-0.031502657738077,0.031502657738077
G01_R0187,G01,train,25,50,1e-06,0.75,0.1,0.0,0.0,13.156,13.140930937003931,-0.0150690629960692,0.0150690629960692
G01_R0188,G01,train,25,50,1e-06,0.75,0.2,0.0,0.0,14.154,14.140377842261987,-0.0136221577380108,0.0136221577380108
G01_R0189,G01,test,25,50,1e-06,0.75,0.3,0.0,0.0,15.413,15.378926432043672,-0.0340735679563284,0.0340735679563284
G01_R0190,G01,train,25,50,1e-06,0.7,0.1,0.0,0.0,13.157,13.14103362450393,-0.0159663754960703,0.0159663754960703
G01_R0191,G01,train,25,50,1e-06,0.7,0.2,0.0,0.0,14.154,14.139891946428657,-0.0141080535713449,0.0141080535713449
G01_R0192,G01,test,25,50,1e-06,0.7,0.3,0.0,0.0,15.413,15.379191307043673,-0.0338086929563274,0.0338086929563274
G01_R0193,G01,test,100,3,0.001,0.85,0.1,0.0,0.0,8.6293,8.615492799458861,-0.0138072005411391,0.0138072005411391
G01_R0194,G01,train,100,3,0.001,0.85,0.2,0.0,0.0,9.2588,9.208241504897208,-0.050558495102793,0.050558495102793
G01_R0195,G01,train,100,3,0.001,0.85,0.3,0.0,0.0,10.008,9.993914324048482,-0.0140856759515166,0.0140856759515166
G01_R0196,G01,train,100,3,0.001,0.8,0.1,0.0,0.0,8.6367,8.616017799458861,-0.0206822005411382,0.0206822005411382
G01_R0197,G01,test,100,3,0.001,0.8,0.2,0.0,0.0,9.2687,9.20663728540316,-0.0620627145968395,0.0620627145968395
G01_R0198,G01,train,100,3,0.001,0.8,0.3,0.0,0.0,10.02,9.994975502619912,-0.0250244973800874,0.0250244973800874
G01_R0199,G01,train,100,3,0.001,0.75,0.1,0.0,0.0,8.6445,8.619552927137429,-0.024947072862572,0.024947072862572
G01_R0200,G01,test,100,3,0.001,0.75,0.2,0.0,0.0,9.2792,9.208151587486492,-0.0710484125135071,0.0710484125135071
G01_R0201,G01,train,100,3,0.001,0.75,0.3,0.0,0.0,10.034,9.998273623899683,-0.0357263761003157,0.0357263761003157
G01_R0202,G01,train,100,3,0.001,0.7,0.1,0.0,0.0,8.6529,8.623881050054091,-0.0290189499459092,0.0290189499459092
G01_R0203,G01,train,100,3,0.001,0.7,0.2,0.0,0.0,9.2905,9.219459807526166,-0.0710401924738342,0.0710401924738342
G01_R0204,G01,test,100,3,0.001,0.7,0.3,0.0,0.0,10.048,9.99823558148897,-0.0497644185110299,0.0497644185110299
