case_uid,geometry_id,split,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value
G01_R0078,G01,train,25,6,1e-05,0.8,0.3,0.0,0.0,9.3566,9.350159296739731
G01_R0079,G01,train,25,6,1e-05,0.75,0.1,0.0,0.0,7.7854,7.785670814980177
G01_R0080,G01,test,25,6,1e-05,0.75,0.2,0.0,0.0,8.4729,8.45735786111111
G01_R0081,G01,test,25,6,1e-05,0.75,0.3,0.0,0.0,9.3582,9.348260082503623
G01_R0082,G01,train,25,6,1e-05,0.7,0.1,0.0,0.0,7.7865,7.785678087003987
G01_R0083,G01,train,25,6,1e-05,0.7,0.2,0.0,0.0,8.4742,8.45969872429202
G01_R0084,G01,train,25,6,1e-05,0.7,0.3,0.0,0.0,9.36,9.349132234586952
G01_R0085,G01,test,25,6,1e-06,0.85,0.1,0.0,0.0,7.8095,7.788208694593255
G01_R0086,G01,train,25,6,1e-06,0.85,0.2,0.0,0.0,8.5044,8.498459604901699
G01_R0087,G01,train,25,6,1e-06,0.85,0.3,0.0,0.0,9.4011,9.391182129216263
G01_R0088,G01,train,25,6,1e-06,0.8,0.1,0.0,0.0,7.8097,7.788704741517862
G01_R0089,G01,train,25,6,1e-06,0.8,0.2,0.0,0.0,8.5046,8.499151380199319
G01_R0090,G01,train,25,6,1e-06,0.8,0.3,0.0,0.0,9.4015,9.391014254017852
G01_R0091,G01,test,25,6,1e-06,0.75,0.1,0.0,0.0,7.81,7.786257450992078
G01_R0092,G01,train,25,6,1e-06,0.75,0.2,0.0,0.0,8.5049,8.499391941833515
G01_R0093,G01,train,25,6,1e-06,0.75,0.3,0.0,0.0,9.4018,9.39062319107142
G01_R0094,G01,test,25,6,1e-06,0.7,0.1,0.0,0.0,7.8103,7.786482711408745
G01_R0095,G01,train,25,6,1e-06,0.7,0.2,0.0,0.0,8.5053,8.499179584492248
G01_R0096,G01,test,25,6,1e-06,0.7,0.3,0.0,0.0,9.4023,9.390223017261889
G01_R0097,G01,test,25,20,0.001,0.85,0.1,0.0,0.0,9.6697,9.621684643452388
G01_R0098,G01,train,25,20,0.001,0.85,0.2,0.0,0.0,10.35,10.334112882034638
G01_R0099,G01,train,25,20,0.001,0.85,0.3,0.0,0.0,11.136,11.140912791666668
G01_R0100,G01,test,25,20,0.001,0.8,0.1,0.0,0.0,9.6757,9.622779699702388
G01_R0101,G01,test,25,20,0.001,0.8,0.2,0.0,0.0,10.358,10.333875880050511
G01_R0102,G01,train,25,20,0.001,0.8,0.3,0.0,0.0,11.146,11.14238963392858
G01_R0103,G01,train,25,20,0.001,0.75,0.1,0.0,0.0,9.6819,9.634308996825403
G01_R0104,G01,train,25,20,0.001,0.75,0.2,0.0,0.0,10.367,10.341177152371936
G01_R0105,G01,train,25,20,0.001,0.75,0.3,0.0,0.0,11.157,11.14087166021828
G01_R0106,G01,train,25,20,0.001,0.7,0.1,0.0,0.0,9.6884,9.642360605253428
G01_R0107,G01,train,25,20,0.001,0.7,0.2,0.0,0.0,10.376,10.345316636814571
G01_R0108,G01,train,25,20,0.001,0.7,0.3,0.0,0.0,11.168,11.1421212792659
G01_R0109,G01,train,25,20,0.0001,0.85,0.1,0.0,0.0,10.021,10.00250784613096
G01_R0110,G01,test,25,20,0.0001,0.85,0.2,0.0,0.0,10.789,10.774854665369366
G01_R0111,G01,train,25,20,0.0001,0.85,0.3,0.0,0.0,11.753,11.74091864880952
G01_R0112,G01,test,25,20,0.0001,0.8,0.1,0.0,0.0,10.024,10.002233008630965
G01_R0113,G01,train,25,20,0.0001,0.8,0.2,0.0,0.0,10.793,10.775575201083653
G01_R0114,G01,test,25,20,0.0001,0.8,0.3,0.0,0.0,11.758,11.74277970337301
G01_R0115,G01,train,25,20,0.0001,0.75,0.1,0.0,0.0,10.028,10.003076998214295
G01_R0116,G01,train,25,20,0.0001,0.75,0.2,0.0,0.0,10.797,10.776009162889205
G01_R0117,G01,train,25,20,0.0001,0.75,0.3,0.0,0.0,11.764,11.745945381944429
G01_R0118,G01,train,25,20,0.0001,0.7,0.1,0.0,0.0,10.031,10.005238326785731
G01_R0119,G01,train,25,20,0.0001,0.7,0.2,0.0,0.0,10.802,10.777763788385233
G01_R0120,G01,train,25,20,0.0001,0.7,0.3,0.0,0.0,11.769,11.74743364583331
G01_R0121,G01,test,25,20,1e-05,0.85,0.1,0.0,0.0,10.116,10.118973711084031
G01_R0122,G01,train,25,20,1e-05,0.85,0.2,0.0,0.0,10.913,10.918364444760067
G01_R0123,G01,test,25,20,1e-05,0.85,0.3,0.0,0.0,11.923,11.924722843253935
G01_R0124,G01,train,25,20,1e-05,0.8,0.1,0.0,0.0,10.117,10.119462231917366
G01_R0125,G01,train,25,20,1e-05,0.8,0.2,0.0,0.0,10.914,10.917777819760072
G01_R0126,G01,train,25,20,1e-05,0.8,0.3,0.0,0.0,11.925,11.926993861111068
G01_R0127,G01,train,25,20,1e-05,0.75,0.1,0.0,0.0,10.118,10.11943482715546
G01_R0128,G01,train,25,20,1e-05,0.75,0.2,0.0,0.0,10.916,10.917726833152956
G01_R0129,G01,train,25,20,1e-05,0.75,0.3,0.0,0.0,11.927,11.927612515872974
G01_R0130,G01,train,25,20,1e-05,0.7,0.1,0.0,0.0,10.12,10.120258410488782
G01_R0131,G01,train,25,20,1e-05,0.7,0.2,0.0,0.0,10.917,10.91837265458153
G01_R0132,G01,train,25,20,1e-05,0.7,0.3,0.0,0.0,11.929,11.927895096230118
G01_R0133,G01,test,25,20,1e-06,0.85,0.1,0.0,0.0,10.146,10.128945099972896
G01_R0134,G01,train,25,20,1e-06,0.85,0.2,0.0,0.0,10.95,10.941040956168813
G01_R0135,G01,test,25,20,1e-06,0.85,0.3,0.0,0.0,11.973,11.957932717261924
G01_R0136,G01,test,25,20,1e-06,0.8,0.1,0.0,0.0,10.146,10.129149037472896
G01_R0137,G01,train,25,20,1e-06,0.8,0.2,0.0,0.0,10.951,10.940638810335484
G01_R0138,G01,train,25,20,1e-06,0.8,0.3,0.0,0.0,11.973,11.95911009226192
G01_R0139,G01,train,25,20,1e-06,0.75,0.1,0.0,0.0,10.146,10.129704908504642
G01_R0140,G01,test,25,20,1e-06,0.75,0.2,0.0,0.0,10.951,10.940315564799771
G01_R0141,G01,train,25,20,1e-06,0.75,0.3,0.0,0.0,11.974,11.959869389880977
G01_R0142,G01,train,25,20,1e-06,0.7,0.1,0.0,0.0,10.146,10.130471887671298
G01_R0143,G01,train,25,20,1e-06,0.7,0.2,0.0,0.0,10.951,10.940923421942635
G01_R0144,G01,train,25,20,1e-06,0.7,0.3,0.0,0.0,11.974,11.960641931547638
G01_R0145,G01,test,25,50,0.001,0.85,0.1,0.0,0.0,12.563,12.501539500992042
G01_R0146,G01,train,25,50,0.001,0.85,0.2,0.0,0.0,13.412,13.39204842162696
G01_R0147,G01,train,25,50,0.001,0.85,0.3,0.0,0.0,14.389,14.341005304067435
G01_R0148,G01,train,25,50,0.001,0.8,0.1,0.0,0.0,12.57,12.510168105654744
G01_R0149,G01,train,25,50,0.001,0.8,0.2,0.0,0.0,13.423,13.392468984126966
G01_R0150,G01,test,25,50,0.001,0.8,0.3,0.0,0.0,14.402,14.336824567956324
G01_R0151,G01,test,25,50,0.001,0.75,0.1,0.0,0.0,12.578,12.506539782738068
G01_R0152,G01,test,25,50,0.001,0.75,0.2,0.0,0.0,13.434,13.3940977266865
G01_R0153,G01,test,25,50,0.001,0.75,0.3,0.0,0.0,14.415,14.343120625992013
G01_R0154,G01,train,25,50,0.001,0.7,0.1,0.0,0.0,12.587,12.517955305059491
G01_R0155,G01,train,25,50,0.001,0.7,0.2,0.0,0.0,13.446,13.400844589781748
G01_R0156,G01,train,25,50,0.001,0.7,0.3,0.0,0.0,14.429,14.36231721924599
G01_R0157,G01,train,25,50,0.0001,0.85,0.1,0.0,0.0,13.0,12.992658032467556
G01_R0158,G01,test,25,50,0.0001,0.85,0.2,0.0,0.0,13.954,13.893744921130931
G01_R0159,G01,train,25,50,0.0001,0.85,0.3,0.0,0.0,15.143,15.132742523809512
G01_R0160,G01,train,25,50,0.0001,0.8,0.1,0.0,0.0,13.005,12.992098740800886
G01_R0161,G01,train,25,50,0.0001,0.8,0.2,0.0,0.0,13.959,13.902894935019818
G01_R0162,G01,train,25,50,0.0001,0.8,0.3,0.0,0.0,15.15,15.134612908730151
G01_R0163,G01,train,25,50,0.0001,0.75,0.1,0.0,0.0,13.009,12.994034816197718
G01_R0164,G01,train,25,50,0.0001,0.75,0.2,0.0,0.0,13.964,13.911380360615054
G01_R0165,G01,train,25,50,0.0001,0.75,0.3,0.0,0.0,15.156,15.141197088293634
G01_R0166,G01,train,25,50,0.0001,0.7,0.1,0.0,0.0,13.013,12.994520039412002
G01_R0167,G01,test,25,50,0.0001,0.7,0.2,0.0,0.0,13.97,13.910651699900766
G01_R0168,G01,train,25,50,0.0001,0.7,0.3,0.0,0.0,15.163,15.14189037847221
G01_R0169,G01,test,25,50,1e-05,0.85,0.1,0.0,0.0,13.119,13.123359417162671
G01_R0170,G01,train,25,50,1e-05,0.85,0.2,0.0,0.0,14.107,14.115611230429318
G01_R0171,G01,train,25,50,1e-05,0.85,0.3,0.0,0.0,15.351,15.353717327876968
G01_R0172,G01,train,25,50,1e-05,0.8,0.1,0.0,0.0,13.12,13.12376412549601
G01_R0173,G01,train,25,50,1e-05,0.8,0.2,0.0,0.0,14.108,14.115725022096004
G01_R0174,G01,train,25,50,1e-05,0.8,0.3,0.0,0.0,15.353,15.352497041666652
G01_R0175,G01,train,25,50,1e-05,0.75,0.1,0.0,0.0,13.122,13.125493190972184
G01_R0176,G01,test,25,50,1e-05,0.75,0.2,0.0,0.0,14.11,14.117434084596004
G01_R0177,G01,train,25,50,1e-05,0.75,0.3,0.0,0.0,15.355,15.35334007638888
G01_R0178,G01,test,25,50,1e-05,0.7,0.1,0.0,0.0,13.123,13.125411732638849
G01_R0179,G01,train,25,50,1e-05,0.7,0.2,0.0,0.0,14.112,14.117078417929331
G01_R0180,G01,test,25,50,1e-05,0.7,0.3,0.0,0.0,15.358,15.352604501984104
G01_R0181,G01,test,25,50,1e-06,0.85,0.1,0.0,0.0,13.155,13.139383586805534
G01_R0182,G01,train,25,50,1e-06,0.85,0.2,0.0,0.0,14.153,14.13837290476197
G01_R0183,G01,train,25,50,1e-06,0.85,0.3,0.0,0.0,15.412,15.382915156250023
G01_R0184,G01,train,25,50,1e-06,0.8,0.1,0.0,0.0,13.156,13.139620211805536
G01_R0185,G01,test,25,50,1e-06,0.8,0.2,0.0,0.0,14.154,14.138239633928654
G01_R0186,G01,train,25,50,1e-06,0.8,0.3,0.0,0.0,15.412,15.380497342261924
G01_R0187,G01,train,25,50,1e-06,0.75,0.1,0.0,0.0,13.156,13.140930937003931
G01_R0188,G01,train,25,50,1e-06,0.75,0.2,0.0,0.0,14.154,14.140377842261987
G01_R0189,G01,test,25,50,1e-06,0.75,0.3,0.0,0.0,15.413,15.378926432043672
G01_R0190,G01,train,25,50,1e-06,0.7,0.1,0.0,0.0,13.157,13.14103362450393
G01_R0191,G01,train,25,50,1e-06,0.7,0.2,0.0,0.0,14.154,14.139891946428657
G01_R0192,G01,test,25,50,1e-06,0.7,0.3,0.0,0.0,15.413,15.379191307043673
G01_R0193,G01,test,100,3,0.001,0.85,0.1,0.0,0.0,8.6293,8.615492799458861
G01_R0194,G01,train,100,3,0.001,0.85,0.2,0.0,0.0,9.2588,9.208241504897208
G01_R0195,G01,train,100,3,0.001,0.85,0.3,0.0,0.0,10.008,9.993914324048482
G01_R0196,G01,train,100,3,0.001,0.8,0.1,0.0,0.0,8.6367,8.616017799458861
G01_R0197,G01,test,100,3,0.001,0.8,0.2,0.0,0.0,9.2687,9.20663728540316
G01_R0198,G01,train,100,3,0.001,0.8,0.3,0.0,0.0,10.02,9.994975502619912
G01_R0199,G01,train,100,3,0.001,0.75,0.1,0.0,0.0,8.6445,8.619552927137429
G01_R0200,G01,test,100,3,0.001,0.75,0.2,0.0,0.0,9.2792,9.208151587486492
G01_R0201,G01,train,100,3,0.001,0.75,0.3,0.0,0.0,10.034,9.998273623899683
G01_R0202,G01,train,100,3,0.001,0.7,0.1,0.0,0.0,8.6529,8.623881050054091
G01_R0203,G01,train,100,3,0.001,0.7,0.2,0.0,0.0,9.2905,9.219459807526166
G01_R0204,G01,test,100,3,0.001,0.7,0.3,0.0,0.0,10.048,9.99823558148897
G01_R0205,G01,train,100,3,0.0001,0.85,0.1,0.0,0.0,8.9129,8.92102113586308
G01_R0206,G01,test,100,3,0.0001,0.85,0.2,0.0,0.0,9.6173,9.628674886503438
G01_R0207,G01,train,100,3,0.0001,0.85,0.3,0.0,0.0,10.531,10.529808462301578
G01_R0208,G01,train,100,3,0.0001,0.8,0.1,0.0,0.0,8.9161,8.921401090624984
G01_R0209,G01,train,100,3,0.0001,0.8,0.2,0.0,0.0,9.6216,9.627733331741531
G01_R0210,G01,train,100,3,0.0001,0.8,0.3,0.0,0.0,10.536,10.530536727182533
G01_R0211,G01,train,100,3,0.0001,0.75,0.1,0.0,0.0,8.9194,8.92267598973213
G01_R0212,G01,test,100,3,0.0001,0.75,0.2,0.0,0.0,9.6261,9.630651100937952
G01_R0213,G01,train,100,3,0.0001,0.75,0.3,0.0,0.0,10.542,10.532678087301594
G01_R0214,G01,train,100,3,0.0001,0.7,0.1,0.0,0.0,8.9229,8.922129413690461
G01_R0215,G01,test,100,3,0.0001,0.7,0.2,0.0,0.0,9.6308,9.630592465521284
G01_R0216,G01,train,100,3,0.0001,0.7,0.3,0.0,0.0,10.548,10.53296163492064
G01_R0217,G01,train,100,3,1e-05,0.85,0.1,0.0,0.0,8.9919,8.993435827579372
G01_R0218,G01,train,100,3,1e-05,0.85,0.2,0.0,0.0,9.7152,9.70162433417207
G01_R0219,G01,train,100,3,1e-05,0.85,0.3,0.0,0.0,10.67,10.668809699314592
G01_R0220,G01,train,100,3,1e-05,0.8,0.1,0.0,0.0,8.993,8.99385241448413
G01_R0221,G01,test,100,3,1e-05,0.8,0.2,0.0,0.0,9.7167,9.699820039826829
G01_R0222,G01,train,100,3,1e-05,0.8,0.3,0.0,0.0,10.672,10.669200883838403
G01_R0223,G01,train,100,3,1e-05,0.75,0.1,0.0,0.0,8.9941,8.994430556051588
G01_R0224,G01,train,100,3,1e-05,0.75,0.2,0.0,0.0,9.7182,9.707536727624458
G01_R0225,G01,train,100,3,1e-05,0.75,0.3,0.0,0.0,10.674,10.673532645743148
G01_R0226,G01,train,100,3,1e-05,0.7,0.1,0.0,0.0,8.9953,8.993942312152775
G01_R0227,G01,train,100,3,1e-05,0.7,0.2,0.0,0.0,9.7199,9.70778138000541
G01_R0228,G01,train,100,3,1e-05,0.7,0.3,0.0,0.0,10.676,10.673527967171722
G01_R0229,G01,train,100,3,1e-06,0.85,0.1,0.0,0.0,9.0168,9.013044853521826
G01_R0230,G01,train,100,3,1e-06,0.85,0.2,0.0,0.0,9.7444,9.730061146076828
G01_R0231,G01,test,100,3,1e-06,0.85,0.3,0.0,0.0,10.709,10.670642726100306
G01_R0232,G01,train,100,3,1e-06,0.8,0.1,0.0,0.0,9.0171,9.013227723958332
G01_R0233,G01,train,100,3,1e-06,0.8,0.2,0.0,0.0,9.7448,9.72832351066016
G01_R0234,G01,test,100,3,1e-06,0.8,0.3,0.0,0.0,10.709,10.671241815386022
G01_R0235,G01,train,100,3,1e-06,0.75,0.1,0.0,0.0,9.0174,9.013420814781732
G01_R0236,G01,train,100,3,1e-06,0.75,0.2,0.0,0.0,9.7451,9.730755253814923
G01_R0237,G01,train,100,3,1e-06,0.75,0.3,0.0,0.0,10.71,10.67568511895743
G01_R0238,G01,train,100,3,1e-06,0.7,0.1,0.0,0.0,9.0176,9.013142815674588
G01_R0239,G01,test,100,3,1e-06,0.7,0.2,0.0,0.0,9.7455,9.73071353714826
G01_R0240,G01,test,100,3,1e-06,0.7,0.3,0.0,0.0,10.71,10.675171294552667
G01_R0241,G01,test,100,6,0.001,0.85,0.1,0.0,0.0,10.308,10.28845620664683
G01_R0242,G01,train,100,6,0.001,0.85,0.2,0.0,0.0,11.019,11.01373768700396
G01_R0243,G01,train,100,6,0.001,0.85,0.3,0.0,0.0,11.862,11.846483117063526
G01_R0244,G01,train,100,6,0.001,0.8,0.1,0.0,0.0,10.316,10.293064149801587
G01_R0245,G01,train,100,6,0.001,0.8,0.2,0.0,0.0,11.03,11.01490745188492
G01_R0246,G01,train,100,6,0.001,0.8,0.3,0.0,0.0,11.876,11.84417405505956
G01_R0247,G01,train,100,6,0.001,0.75,0.1,0.0,0.0,10.325,10.296770395833333
G01_R0248,G01,train,100,6,0.001,0.75,0.2,0.0,0.0,11.042,11.019443846230168
G01_R0249,G01,train,100,6,0.001,0.75,0.3,0.0,0.0,11.891,11.8454886369048
G01_R0250,G01,train,100,6,0.001,0.7,0.1,0.0,0.0,10.335,10.299477342261907
G01_R0251,G01,train,100,6,0.001,0.7,0.2,0.0,0.0,11.055,11.019443846230168
G01_R0252,G01,test,100,6,0.001,0.7,0.3,0.0,0.0,11.907,11.8454992619048
G01_R0253,G01,test,100,6,0.0001,0.85,0.1,0.0,0.0,10.625,10.637838928057356
G01_R0254,G01,train,100,6,0.0001,0.85,0.2,0.0,0.0,11.414,11.430219494543657
G01_R0255,G01,test,100,6,0.0001,0.85,0.3,0.0,0.0,12.432,12.44037144868326
G01_R0256,G01,train,100,6,0.0001,0.8,0.1,0.0,0.0,10.629,10.639564549783548
G01_R0257,G01,train,100,6,0.0001,0.8,0.2,0.0,0.0,11.419,11.430420640376989
G01_R0258,G01,train,100,6,0.0001,0.8,0.3,0.0,0.0,12.438,12.4438235290404
G01_R0259,G01,train,100,6,0.0001,0.75,0.1,0.0,0.0,10.632,10.640172460497835
G01_R0260,G01,train,100,6,0.0001,0.75,0.2,0.0,0.0,11.424,11.431997746031731
G01_R0261,G01,train,100,6,0.0001,0.75,0.3,0.0,0.0,12.444,12.441053865349922
G01_R0262,G01,train,100,6,0.0001,0.7,0.1,0.0,0.0,10.636,10.639442978354978
G01_R0263,G01,train,100,6,0.0001,0.7,0.2,0.0,0.0,11.43,11.432146829365069
G01_R0264,G01,train,100,6,0.0001,0.7,0.3,0.0,0.0,12.451,12.440083679338017
G01_R0265,G01,train,100,6,1e-05,0.85,0.1,0.0,0.0,10.713,10.712755270021658
G01_R0266,G01,train,100,6,1e-05,0.85,0.2,0.0,0.0,11.521,11.524181483630962
G01_R0267,G01,train,100,6,1e-05,0.85,0.3,0.0,0.0,12.581,12.584812658272288
G01_R0268,G01,train,100,6,1e-05,0.8,0.1,0.0,0.0,10.714,10.712358415854997
G01_R0269,G01,train,100,6,1e-05,0.8,0.2,0.0,0.0,11.523,11.524934962797625
G01_R0270,G01,train,100,6,1e-05,0.8,0.3,0.0,0.0,12.583,12.584353345772293
G01_R0271,G01,test,100,6,1e-05,0.75,0.1,0.0,0.0,10.716,10.713001639069292
G01_R0272,G01,train,100,6,1e-05,0.75,0.2,0.0,0.0,11.525,11.525286514880955
G01_R0273,G01,train,100,6,1e-05,0.75,0.3,0.0,0.0,12.586,12.582441926129416
G01_R0274,G01,train,100,6,1e-05,0.7,0.1,0.0,0.0,10.717,10.712747826569291
G01_R0275,G01,test,100,6,1e-05,0.7,0.2,0.0,0.0,11.526,11.525455077380958
G01_R0276,G01,train,100,6,1e-05,0.7,0.3,0.0,0.0,12.588,12.580574929105603
G01_R0277,G01,train,100,6,1e-06,0.85,0.1,0.0,0.0,10.741,10.728563453057378
G01_R0278,G01,train,100,6,1e-06,0.85,0.2,0.0,0.0,11.553,11.545648338293644
G01_R0279,G01,train,100,6,1e-06,0.85,0.3,0.0,0.0,12.623,12.611346929105542
G01_R0280,G01,test,100,6,1e-06,0.8,0.1,0.0,0.0,10.741,10.728166598890716
G01_R0281,G01,train,100,6,1e-06,0.8,0.2,0.0,0.0,11.553,11.546393734126973
G01_R0282,G01,train,100,6,1e-06,0.8,0.3,0.0,0.0,12.623,12.610950949938877
