case_uid,geometry_id,split,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value
G01_R0049,G01,train,25,6,0.001,0.85,0.1,0.0,0.0,3.5391007,3.546174953545383
G01_R0050,G01,train,25,6,0.001,0.85,0.2,0.0,0.0,4.931962,4.935459084833269
G01_R0051,G01,train,25,6,0.001,0.85,0.3,0.0,0.0,6.9917847,6.998740590118104
G01_R0052,G01,test,25,6,0.001,0.8,0.1,0.0,0.0,3.5506918,3.5493674569870644
G01_R0053,G01,train,25,6,0.001,0.8,0.2,0.0,0.0,4.9540439,4.951491008491902
G01_R0054,G01,train,25,6,0.001,0.8,0.3,0.0,0.0,7.0272847,7.022872417134176
G01_R0055,G01,train,25,6,0.001,0.75,0.1,0.0,0.0,3.5627573,3.564577431882
G01_R0056,G01,train,25,6,0.001,0.75,0.2,0.0,0.0,4.9773848,4.9831905687864975
G01_R0057,G01,train,25,6,0.001,0.75,0.3,0.0,0.0,7.0650341,7.0819820504857285
G01_R0058,G01,train,25,6,0.001,0.7,0.1,0.0,0.0,3.575394,3.5732467776971446
G01_R0059,G01,train,25,6,0.001,0.7,0.2,0.0,0.0,5.0019789,4.997804334674556
G01_R0060,G01,train,25,6,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.096692784898186
G01_R0061,G01,train,25,6,0.0001,0.85,0.1,0.0,0.0,4.437649,4.44055849644582
G01_R0062,G01,test,25,6,0.0001,0.85,0.2,0.0,0.0,6.7143536,6.730776240638482
G01_R0063,G01,train,25,6,0.0001,0.85,0.3,0.0,0.0,10.326261,10.336972809772227
G01_R0064,G01,train,25,6,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.445758994920819
G01_R0065,G01,train,25,6,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,6.730776240638482
G01_R0066,G01,train,25,6,0.0001,0.8,0.3,0.0,0.0,10.355907,10.352180977533578
G01_R0067,G01,train,25,6,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.457923310175279
G01_R0068,G01,train,25,6,0.0001,0.75,0.2,0.0,0.0,6.7501525,6.753103508881242
G01_R0069,G01,train,25,6,0.0001,0.75,0.3,0.0,0.0,10.387515,10.3911145401186
G01_R0070,G01,test,25,6,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.464333658000262
G01_R0071,G01,test,25,6,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,6.760069527068481
G01_R0072,G01,train,25,6,0.0001,0.7,0.3,0.0,0.0,10.422079,10.412172271725632
G01_R0073,G01,train,25,6,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.679922977488525
G01_R0074,G01,test,25,6,1e-05,0.85,0.2,0.0,0.0,14.034764,14.04272632318673
G01_R0075,G01,train,25,6,1e-05,0.85,0.3,0.0,0.0,25.849678,25.87563390060457
G01_R0076,G01,train,25,6,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.683648706518719
G01_R0077,G01,train,25,6,1e-05,0.8,0.2,0.0,0.0,14.060641,14.058583979220971
G01_R0078,G01,train,25,6,1e-05,0.8,0.3,0.0,0.0,25.895523,25.890277364425927
G01_R0079,G01,train,25,6,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.699642850451012
G01_R0080,G01,test,25,6,1e-05,0.75,0.2,0.0,0.0,14.089505,14.103035811254667
G01_R0081,G01,test,25,6,1e-05,0.75,0.3,0.0,0.0,25.947354,25.95948775896361
G01_R0082,G01,train,25,6,1e-05,0.7,0.1,0.0,0.0,6.711645,6.704486567796866
G01_R0083,G01,train,25,6,1e-05,0.7,0.2,0.0,0.0,14.122356,14.115904522596644
G01_R0084,G01,train,25,6,1e-05,0.7,0.3,0.0,0.0,26.007168,25.99043435058224
G01_R0085,G01,test,25,6,1e-06,0.85,0.1,0.0,0.0,24.410804,24.454888144129413
G01_R0086,G01,train,25,6,1e-06,0.85,0.2,0.0,0.0,78.946158,78.96295246697267
G01_R0087,G01,train,25,6,1e-06,0.85,0.3,0.0,0.0,168.59137800000002,168.6409656847354
G01_R0088,G01,train,25,6,1e-06,0.8,0.1,0.0,0.0,24.455769,24.455003046629415
G01_R0089,G01,train,25,6,1e-06,0.8,0.2,0.0,0.0,79.044114,79.03161487120491
G01_R0090,G01,train,25,6,1e-06,0.8,0.3,0.0,0.0,168.75132200000002,168.73893947960087
G01_R0091,G01,test,25,6,1e-06,0.75,0.1,0.0,0.0,24.504731,24.50763920717776
G01_R0092,G01,train,25,6,1e-06,0.75,0.2,0.0,0.0,79.15306600000001,79.20611736079337
G01_R0093,G01,train,25,6,1e-06,0.75,0.3,0.0,0.0,168.93126099999998,168.95960708176136
G01_R0094,G01,test,25,6,1e-06,0.7,0.1,0.0,0.0,24.55769,24.52632094614489
G01_R0095,G01,train,25,6,1e-06,0.7,0.2,0.0,0.0,79.27501500000001,79.24804424668622
G01_R0096,G01,test,25,6,1e-06,0.7,0.3,0.0,0.0,169.13119600000002,169.01707535525824
G01_R0097,G01,test,25,20,0.001,0.85,0.1,0.0,0.0,3.5391007,3.546171052712049
G01_R0098,G01,train,25,20,0.001,0.85,0.2,0.0,0.0,4.931962,4.934983738317795
G01_R0099,G01,train,25,20,0.001,0.85,0.3,0.0,0.0,6.9917847,6.997702499703816
G01_R0100,G01,test,25,20,0.001,0.8,0.1,0.0,0.0,3.5506918,3.5493598704495644
G01_R0101,G01,test,25,20,0.001,0.8,0.2,0.0,0.0,4.9540439,4.950985468326874
G01_R0102,G01,train,25,20,0.001,0.8,0.3,0.0,0.0,7.0272847,7.02194981487822
G01_R0103,G01,train,25,20,0.001,0.75,0.1,0.0,0.0,3.5627573,3.564914491012952
G01_R0104,G01,train,25,20,0.001,0.75,0.2,0.0,0.0,4.9773848,4.983530306641707
G01_R0105,G01,train,25,20,0.001,0.75,0.3,0.0,0.0,7.0650341,7.08184721482427
G01_R0106,G01,train,25,20,0.001,0.7,0.1,0.0,0.0,3.575394,3.5736192792343475
G01_R0107,G01,train,25,20,0.001,0.7,0.2,0.0,0.0,5.0019789,4.998169622854766
G01_R0108,G01,train,25,20,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.096518626945061
G01_R0109,G01,train,25,20,0.0001,0.85,0.1,0.0,0.0,4.437649,4.440340931183318
G01_R0110,G01,test,25,20,0.0001,0.85,0.2,0.0,0.0,6.7143536,6.7320720649523205
G01_R0111,G01,train,25,20,0.0001,0.85,0.3,0.0,0.0,10.326261,10.336255328108548
G01_R0112,G01,test,25,20,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.445544001502068
G01_R0113,G01,train,25,20,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,6.7320720649523205
G01_R0114,G01,test,25,20,0.0001,0.8,0.3,0.0,0.0,10.355907,10.351492299203237
G01_R0115,G01,train,25,20,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.458178956444028
G01_R0116,G01,train,25,20,0.0001,0.75,0.2,0.0,0.0,6.7501525,6.7528873668760285
G01_R0117,G01,train,25,20,0.0001,0.75,0.3,0.0,0.0,10.387515,10.391472574767413
G01_R0118,G01,train,25,20,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.464576577869011
G01_R0119,G01,train,25,20,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,6.7597607486132665
G01_R0120,G01,train,25,20,0.0001,0.7,0.3,0.0,0.0,10.422079,10.412477013249443
G01_R0121,G01,test,25,20,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.680747647088359
G01_R0122,G01,train,25,20,1e-05,0.85,0.2,0.0,0.0,14.034764,14.04214496607364
G01_R0123,G01,test,25,20,1e-05,0.85,0.3,0.0,0.0,25.849678,25.877170534739932
G01_R0124,G01,train,25,20,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.684471723472719
G01_R0125,G01,train,25,20,1e-05,0.8,0.2,0.0,0.0,14.060641,14.058045303200142
G01_R0126,G01,train,25,20,1e-05,0.8,0.3,0.0,0.0,25.895523,25.8918139985613
G01_R0127,G01,train,25,20,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.69965910193494
G01_R0128,G01,train,25,20,1e-05,0.75,0.2,0.0,0.0,14.089505,14.102515811909427
G01_R0129,G01,train,25,20,1e-05,0.75,0.3,0.0,0.0,25.947354,25.95658216775824
G01_R0130,G01,train,25,20,1e-05,0.7,0.1,0.0,0.0,6.711645,6.704505919505793
G01_R0131,G01,train,25,20,1e-05,0.7,0.2,0.0,0.0,14.122356,14.115389292001405
G01_R0132,G01,train,25,20,1e-05,0.7,0.3,0.0,0.0,26.007168,25.98737052875187
G01_R0133,G01,test,25,20,1e-06,0.85,0.1,0.0,0.0,24.410804,24.459318384342232
G01_R0134,G01,train,25,20,1e-06,0.85,0.2,0.0,0.0,78.946158,78.96180707174054
G01_R0135,G01,test,25,20,1e-06,0.85,0.3,0.0,0.0,168.59137800000002,168.64668786998516
G01_R0136,G01,test,25,20,1e-06,0.8,0.1,0.0,0.0,24.455769,24.45943328684223
G01_R0137,G01,train,25,20,1e-06,0.8,0.2,0.0,0.0,79.044114,79.03072361684777
G01_R0138,G01,train,25,20,1e-06,0.8,0.3,0.0,0.0,168.75132200000002,168.74461251947562
G01_R0139,G01,train,25,20,1e-06,0.75,0.1,0.0,0.0,24.504731,24.51195330364057
G01_R0140,G01,test,25,20,1e-06,0.75,0.2,0.0,0.0,79.15306600000001,79.21021108045103
G01_R0141,G01,train,25,20,1e-06,0.75,0.3,0.0,0.0,168.93126099999998,168.96821759676118
G01_R0142,G01,train,25,20,1e-06,0.7,0.1,0.0,0.0,24.55769,24.531063345691027
G01_R0143,G01,train,25,20,1e-06,0.7,0.2,0.0,0.0,79.27501500000001,79.2521379663439
G01_R0144,G01,train,25,20,1e-06,0.7,0.3,0.0,0.0,169.13119600000002,169.02573085500805
G01_R0145,G01,test,25,50,0.001,0.85,0.1,0.0,0.0,3.5391007,3.546163333274549
G01_R0146,G01,train,25,50,0.001,0.85,0.2,0.0,0.0,4.931962,4.9352054773969565
G01_R0147,G01,train,25,50,0.001,0.85,0.3,0.0,0.0,6.9917847,6.997655191078817
G01_R0148,G01,train,25,50,0.001,0.8,0.1,0.0,0.0,3.5506918,3.5493521510120645
G01_R0149,G01,train,25,50,0.001,0.8,0.2,0.0,0.0,4.9540439,4.951207207406036
G01_R0150,G01,test,25,50,0.001,0.8,0.3,0.0,0.0,7.0272847,7.0219025062532205
G01_R0151,G01,test,25,50,0.001,0.75,0.1,0.0,0.0,3.5627573,3.564906771575452
G01_R0152,G01,test,25,50,0.001,0.75,0.2,0.0,0.0,4.9773848,4.983530306641707
G01_R0153,G01,test,25,50,0.001,0.75,0.3,0.0,0.0,7.0650341,7.081799906199271
G01_R0154,G01,train,25,50,0.001,0.7,0.1,0.0,0.0,3.575394,3.573611559796847
G01_R0155,G01,train,25,50,0.001,0.7,0.2,0.0,0.0,5.0019789,4.998169622854766
G01_R0156,G01,train,25,50,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.096471318320061
G01_R0157,G01,train,25,50,0.0001,0.85,0.1,0.0,0.0,4.437649,4.440289997902073
G01_R0158,G01,test,25,50,0.0001,0.85,0.2,0.0,0.0,6.7143536,6.732097024946074
G01_R0159,G01,train,25,50,0.0001,0.85,0.3,0.0,0.0,10.326261,10.336638171566872
G01_R0160,G01,train,25,50,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.445510120804156
G01_R0161,G01,train,25,50,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,6.732097024946074
G01_R0162,G01,train,25,50,0.0001,0.8,0.3,0.0,0.0,10.355907,10.35190610624489
G01_R0163,G01,train,25,50,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.458358909089861
G01_R0164,G01,train,25,50,0.0001,0.75,0.2,0.0,0.0,6.7501525,6.752912326869782
G01_R0165,G01,train,25,50,0.0001,0.75,0.3,0.0,0.0,10.387515,10.391627824600745
G01_R0166,G01,train,25,50,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.464762746514844
G01_R0167,G01,test,25,50,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,6.759754734940352
G01_R0168,G01,train,25,50,0.0001,0.7,0.3,0.0,0.0,10.422079,10.412728585582776
G01_R0169,G01,test,25,50,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.680760564692527
G01_R0170,G01,train,25,50,1e-05,0.85,0.2,0.0,0.0,14.034764,14.041829837761142
G01_R0171,G01,train,25,50,1e-05,0.85,0.3,0.0,0.0,25.849678,25.875408967588186
G01_R0172,G01,train,25,50,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.684484641076887
G01_R0173,G01,train,25,50,1e-05,0.8,0.2,0.0,0.0,14.060641,14.057730174887643
G01_R0174,G01,train,25,50,1e-05,0.8,0.3,0.0,0.0,25.895523,25.890106422034545
G01_R0175,G01,train,25,50,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.699672019539107
G01_R0176,G01,test,25,50,1e-05,0.75,0.2,0.0,0.0,14.089505,14.102454601659428
G01_R0177,G01,train,25,50,1e-05,0.75,0.3,0.0,0.0,25.947354,25.956079796246343
G01_R0178,G01,test,25,50,1e-05,0.7,0.1,0.0,0.0,6.711645,6.704505919505793
G01_R0179,G01,train,25,50,1e-05,0.7,0.2,0.0,0.0,14.122356,14.115389292001405
G01_R0180,G01,test,25,50,1e-05,0.7,0.3,0.0,0.0,26.007168,25.98686138073104
G01_R0181,G01,test,25,50,1e-06,0.85,0.1,0.0,0.0,24.410804,24.46027473059224
G01_R0182,G01,train,25,50,1e-06,0.85,0.2,0.0,0.0,78.946158,78.96278722540721
G01_R0183,G01,train,25,50,1e-06,0.85,0.3,0.0,0.0,168.59137800000002,168.64227107067282
G01_R0184,G01,train,25,50,1e-06,0.8,0.1,0.0,0.0,24.455769,24.46032717559224
G01_R0185,G01,test,25,50,1e-06,0.8,0.2,0.0,0.0,79.044114,79.03096346270193
G01_R0186,G01,train,25,50,1e-06,0.8,0.3,0.0,0.0,168.75132200000002,168.7401957201633
G01_R0187,G01,train,25,50,1e-06,0.75,0.1,0.0,0.0,24.504731,24.51437112220304
G01_R0188,G01,train,25,50,1e-06,0.75,0.2,0.0,0.0,79.15306600000001,79.20409941588865
G01_R0189,G01,test,25,50,1e-06,0.75,0.3,0.0,0.0,168.93126099999998,168.96709297811532
G01_R0190,G01,train,25,50,1e-06,0.7,0.1,0.0,0.0,24.55769,24.53334189522969
G01_R0191,G01,train,25,50,1e-06,0.7,0.2,0.0,0.0,79.27501500000001,79.24597632344816
G01_R0192,G01,test,25,50,1e-06,0.7,0.3,0.0,0.0,169.13119600000002,169.0246062363622
G01_R0193,G01,test,100,3,0.001,0.85,0.1,0.0,0.0,15.135925,15.175241846309014
G01_R0194,G01,train,100,3,0.001,0.85,0.2,0.0,0.0,21.309251,21.344854467192715
G01_R0195,G01,train,100,3,0.001,0.85,0.3,0.0,0.0,30.508539,30.56641395376029
G01_R0196,G01,train,100,3,0.001,0.8,0.1,0.0,0.0,15.200943,15.195937034022243
G01_R0197,G01,test,100,3,0.001,0.8,0.2,0.0,0.0,21.431028,21.40925482380588
G01_R0198,G01,train,100,3,0.001,0.8,0.3,0.0,0.0,30.71707,30.69582825555346
G01_R0199,G01,train,100,3,0.001,0.75,0.1,0.0,0.0,15.27188,15.281718482352758
G01_R0200,G01,test,100,3,0.001,0.75,0.2,0.0,0.0,21.561695,21.596569264669647
G01_R0201,G01,train,100,3,0.001,0.75,0.3,0.0,0.0,30.942466,30.979224022336485
G01_R0202,G01,train,100,3,0.001,0.7,0.1,0.0,0.0,15.346728,15.327949962991752
G01_R0203,G01,train,100,3,0.001,0.7,0.2,0.0,0.0,21.702236,21.66460072332564
G01_R0204,G01,test,100,3,0.001,0.7,0.3,0.0,0.0,31.187713,31.04720093447913
G01_R0205,G01,train,100,3,0.0001,0.85,0.1,0.0,0.0,18.847063,18.86271168588702
G01_R0206,G01,test,100,3,0.0001,0.85,0.2,0.0,0.0,28.761825,28.795256145265807
G01_R0207,G01,train,100,3,0.0001,0.85,0.3,0.0,0.0,44.408754,44.520762993256405
G01_R0208,G01,train,100,3,0.0001,0.8,0.1,0.0,0.0,18.895318000000003,18.889020105908106
G01_R0209,G01,train,100,3,0.0001,0.8,0.2,0.0,0.0,28.871917,28.86544354719444
G01_R0210,G01,train,100,3,0.0001,0.8,0.3,0.0,0.0,44.615621,44.58978824554524
G01_R0211,G01,train,100,3,0.0001,0.75,0.1,0.0,0.0,18.946497,18.95718995725712
G01_R0212,G01,test,100,3,0.0001,0.75,0.2,0.0,0.0,28.991915,29.01980870446568
G01_R0213,G01,train,100,3,0.0001,0.75,0.3,0.0,0.0,44.844372,44.9266311937234
G01_R0214,G01,train,100,3,0.0001,0.7,0.1,0.0,0.0,19.002587,18.98767325946945
G01_R0215,G01,test,100,3,0.0001,0.7,0.2,0.0,0.0,29.124803,29.084570791562943
G01_R0216,G01,train,100,3,0.0001,0.7,0.3,0.0,0.0,45.101987,45.03247232799266
G01_R0217,G01,train,100,3,1e-05,0.85,0.1,0.0,0.0,28.1661,28.19381541965264
G01_R0218,G01,train,100,3,1e-05,0.85,0.2,0.0,0.0,59.088896,59.12363316517507
G01_R0219,G01,train,100,3,1e-05,0.85,0.3,0.0,0.0,108.595423,108.72143575284144
G01_R0220,G01,train,100,3,1e-05,0.8,0.1,0.0,0.0,28.247794000000003,28.240145988271784
G01_R0221,G01,test,100,3,1e-05,0.8,0.2,0.0,0.0,59.323476,59.2953229424691
G01_R0222,G01,train,100,3,1e-05,0.8,0.3,0.0,0.0,109.064893,109.01330122459169
G01_R0223,G01,train,100,3,1e-05,0.75,0.1,0.0,0.0,28.340457,28.4026241145997
G01_R0224,G01,train,100,3,1e-05,0.75,0.2,0.0,0.0,59.592016,59.65745953209645
G01_R0225,G01,train,100,3,1e-05,0.75,0.3,0.0,0.0,109.594314,109.68640459430696
G01_R0226,G01,train,100,3,1e-05,0.7,0.1,0.0,0.0,28.446084,28.40885458348956
G01_R0227,G01,train,100,3,1e-05,0.7,0.2,0.0,0.0,59.90051,59.736568876382
G01_R0228,G01,train,100,3,1e-05,0.7,0.3,0.0,0.0,110.213675,110.05781548068182
G01_R0229,G01,train,100,3,1e-06,0.85,0.1,0.0,0.0,99.825659,99.87142062881446
G01_R0230,G01,train,100,3,1e-06,0.85,0.2,0.0,0.0,321.337835,321.5137131639192
G01_R0231,G01,test,100,3,1e-06,0.85,0.3,0.0,0.0,685.2637070000001,685.6890077519098
G01_R0232,G01,train,100,3,1e-06,0.8,0.1,0.0,0.0,100.096539,100.0621149405322
G01_R0233,G01,train,100,3,1e-06,0.8,0.2,0.0,0.0,322.107681,322.01008823840453
G01_R0234,G01,test,100,3,1e-06,0.8,0.3,0.0,0.0,686.7135089999999,686.617608280236
G01_R0235,G01,train,100,3,1e-06,0.75,0.1,0.0,0.0,100.40641,100.4491867453044
G01_R0236,G01,train,100,3,1e-06,0.75,0.2,0.0,0.0,322.987516,323.11924153729126
G01_R0237,G01,train,100,3,1e-06,0.75,0.3,0.0,0.0,688.3832960000001,688.8286089218217
G01_R0238,G01,train,100,3,1e-06,0.7,0.1,0.0,0.0,100.766271,100.71775890050225
G01_R0239,G01,test,100,3,1e-06,0.7,0.2,0.0,0.0,323.997337,323.7841322747954
G01_R0240,G01,test,100,3,1e-06,0.7,0.3,0.0,0.0,690.323067,689.7583073083488
G01_R0241,G01,test,100,6,0.001,0.85,0.1,0.0,0.0,15.135925,15.175178481829848
G01_R0242,G01,train,100,6,0.001,0.85,0.2,0.0,0.0,21.309251,21.344854467192715
G01_R0243,G01,train,100,6,0.001,0.85,0.3,0.0,0.0,30.508539,30.56844962357276
G01_R0244,G01,train,100,6,0.001,0.8,0.1,0.0,0.0,15.200943,15.19587366954308
G01_R0245,G01,train,100,6,0.001,0.8,0.2,0.0,0.0,21.431028,21.40925482380588
G01_R0246,G01,train,100,6,0.001,0.8,0.3,0.0,0.0,30.71707,30.69738093393737
G01_R0247,G01,train,100,6,0.001,0.75,0.1,0.0,0.0,15.27188,15.281082842540268
G01_R0248,G01,train,100,6,0.001,0.75,0.2,0.0,0.0,21.561695,21.596569264669647
G01_R0249,G01,train,100,6,0.001,0.75,0.3,0.0,0.0,30.942466,30.97866532434541
G01_R0250,G01,train,100,6,0.001,0.7,0.1,0.0,0.0,15.346728,15.327196094845926
G01_R0251,G01,train,100,6,0.001,0.7,0.2,0.0,0.0,21.702236,21.66460072332564
G01_R0252,G01,test,100,6,0.001,0.7,0.3,0.0,0.0,31.187713,31.046642236488065
G01_R0253,G01,test,100,6,0.0001,0.85,0.1,0.0,0.0,18.847063,18.863664030407868
G01_R0254,G01,train,100,6,0.0001,0.85,0.2,0.0,0.0,28.761825,28.795256145265807
G01_R0255,G01,test,100,6,0.0001,0.85,0.3,0.0,0.0,44.408754,44.528336773048096
G01_R0256,G01,train,100,6,0.0001,0.8,0.1,0.0,0.0,18.895318000000003,18.88991709272062
G01_R0257,G01,train,100,6,0.0001,0.8,0.2,0.0,0.0,28.871917,28.86544354719444
G01_R0258,G01,train,100,6,0.0001,0.8,0.3,0.0,0.0,44.615621,44.59773771387859
G01_R0259,G01,train,100,6,0.0001,0.75,0.1,0.0,0.0,18.946497,18.957452962611303
G01_R0260,G01,train,100,6,0.0001,0.75,0.2,0.0,0.0,28.991915,29.01980870446568
G01_R0261,G01,train,100,6,0.0001,0.75,0.3,0.0,0.0,44.844372,44.93798194841086
G01_R0262,G01,train,100,6,0.0001,0.7,0.1,0.0,0.0,19.002587,18.98809248326113
G01_R0263,G01,train,100,6,0.0001,0.7,0.2,0.0,0.0,29.124803,29.084570791562943
G01_R0264,G01,train,100,6,0.0001,0.7,0.3,0.0,0.0,45.101987,45.044284937367614
G01_R0265,G01,train,100,6,1e-05,0.85,0.1,0.0,0.0,28.1661,28.19339043593835
G01_R0266,G01,train,100,6,1e-05,0.85,0.2,0.0,0.0,59.088896,59.12414883621673
G01_R0267,G01,train,100,6,1e-05,0.85,0.3,0.0,0.0,108.595423,108.72490702988313
G01_R0268,G01,train,100,6,1e-05,0.8,0.1,0.0,0.0,28.247794000000003,28.239891248932487
G01_R0269,G01,train,100,6,1e-05,0.8,0.2,0.0,0.0,59.323476,59.295163782885766
G01_R0270,G01,train,100,6,1e-05,0.8,0.3,0.0,0.0,109.064893,109.0161107253834
G01_R0271,G01,test,100,6,1e-05,0.75,0.1,0.0,0.0,28.340457,28.41156969242696
G01_R0272,G01,train,100,6,1e-05,0.75,0.2,0.0,0.0,59.592016,59.64958802251313
G01_R0273,G01,train,100,6,1e-05,0.75,0.3,0.0,0.0,109.594314,109.68027908193206
G01_R0274,G01,train,100,6,1e-05,0.7,0.1,0.0,0.0,28.446084,28.4186196876561
