case_uid,geometry_id,logo_fold,split
G01_R0075,G01,holdout_G01,test
G01_R0076,G01,holdout_G01,test
G01_R0077,G01,holdout_G01,test
G01_R0078,G01,holdout_G01,test
G01_R0079,G01,holdout_G01,test
G01_R0080,G01,holdout_G01,test
G01_R0081,G01,holdout_G01,test
G01_R0082,G01,holdout_G01,test
G01_R0083,G01,holdout_G01,test
G01_R0084,G01,holdout_G01,test
G01_R0085,G01,holdout_G01,test
G01_R0086,G01,holdout_G01,test
G01_R0087,G01,holdout_G01,test
G01_R0088,G01,holdout_G01,test
G01_R0089,G01,holdout_G01,test
G01_R0090,G01,holdout_G01,test
G01_R0091,G01,holdout_G01,test
G01_R0092,G01,holdout_G01,test
G01_R0093,G01,holdout_G01,test
G01_R0094,G01,holdout_G01,test
G01_R0095,G01,holdout_G01,test
G01_R0096,G01,holdout_G01,test
G01_R0097,G01,holdout_G01,test
G01_R0098,G01,holdout_G01,test
G01_R0099,G01,holdout_G01,test
G01_R0100,G01,holdout_G01,test
G01_R0101,G01,holdout_G01,test
G01_R0102,G01,holdout_G01,test
G01_R0103,G01,holdout_G01,test
G01_R0104,G01,holdout_G01,test
G01_R0105,G01,holdout_G01,test
G01_R0106,G01,holdout_G01,test
G01_R0107,G01,holdout_G01,test
G01_R0108,G01,holdout_G01,test
G01_R0109,G01,holdout_G01,test
G01_R0110,G01,holdout_G01,test
G01_R0111,G01,holdout_G01,test
G01_R0112,G01,holdout_G01,test
G01_R0113,G01,holdout_G01,test
G01_R0114,G01,holdout_G01,test
G01_R0115,G01,holdout_G01,test
G01_R0116,G01,holdout_G01,test
G01_R0117,G01,holdout_G01,test
G01_R0118,G01,holdout_G01,test
G01_R0119,G01,holdout_G01,test
G01_R0120,G01,holdout_G01,test
G01_R0121,G01,holdout_G01,test
G01_R0122,G01,holdout_G01,test
G01_R0123,G01,holdout_G01,test
G01_R0124,G01,holdout_G01,test
G01_R0125,G01,holdout_G01,test
G01_R0126,G01,holdout_G01,test
G01_R0127,G01,holdout_G01,test
G01_R0128,G01,holdout_G01,test
G01_R0129,G01,holdout_G01,test
G01_R0130,G01,holdout_G01,test
G01_R0131,G01,holdout_G01,test
G01_R0132,G01,holdout_G01,test
G01_R0133,G01,holdout_G01,test
G01_R0134,G01,holdout_G01,test
G01_R0135,G01,holdout_G01,test
G01_R0136,G01,holdout_G01,test
G01_R0137,G01,holdout_G01,test
G01_R0138,G01,holdout_G01,test
G01_R0139,G01,holdout_G01,test
G01_R0140,G01,holdout_G01,test
G01_R0141,G01,holdout_G01,test
G01_R0142,G01,holdout_G01,test
G01_R0143,G01,holdout_G01,test
G01_R0144,G01,holdout_G01,test
G01_R0145,G01,holdout_G01,test
G01_R0146,G01,holdout_G01,test
G01_R0147,G01,holdout_G01,test
G01_R0148,G01,holdout_G01,test
G01_R0149,G01,holdout_G01,test
G01_R0150,G01,holdout_G01,test
G01_R0151,G01,holdout_G01,test
G01_R0152,G01,holdout_G01,test
G01_R0153,G01,holdout_G01,test
G01_R0154,G01,holdout_G01,test
G01_R0155,G01,holdout_G01,test
G01_R0156,G01,holdout_G01,test
G01_R0157,G01,holdout_G01,test
G01_R0158,G01,holdout_G01,test
G01_R0159,G01,holdout_G01,test
G01_R0160,G01,holdout_G01,test
G01_R0161,G01,holdout_G01,test
G01_R0162,G01,holdout_G01,test
G01_R0163,G01,holdout_G01,test
G01_R0164,G01,holdout_G01,test
G01_R0165,G01,holdout_G01,test
G01_R0166,G01,holdout_G01,test
G01_R0167,G01,holdout_G01,test
G01_R0168,G01,holdout_G01,test
G01_R0169,G01,holdout_G01,test
G01_R0170,G01,holdout_G01,test
G01_R0171,G01,holdout_G01,test
G01_R0172,G01,holdout_G01,test
G01_R0173,G01,holdout_G01,test
G01_R0174,G01,holdout_G01,test
G01_R0175,G01,holdout_G01,test
G01_R0176,G01,holdout_G01,test
G01_R0177,G01,holdout_G01,test
G01_R0178,G01,holdout_G01,test
G01_R0179,G01,holdout_G01,test
G01_R0180,G01,holdout_G01,test
G01_R0181,G01,holdout_G01,test
G01_R0182,G01,holdout_G01,test
G01_R0183,G01,holdout_G01,test
G01_R0184,G01,holdout_G01,test
G01_R0185,G01,holdout_G01,test
G01_R0186,G01,holdout_G01,test
G01_R0187,G01,holdout_G01,test
G01_R0188,G01,holdout_G01,test
G01_R0189,G01,holdout_G01,test
G01_R0190,G01,holdout_G01,test
G01_R0191,G01,holdout_G01,test
G01_R0192,G01,holdout_G01,test
G01_R0193,G01,holdout_G01,test
G01_R0194,G01,holdout_G01,test
G01_R0195,G01,holdout_G01,test
G01_R0196,G01,holdout_G01,test
G01_R0197,G01,holdout_G01,test
G01_R0198,G01,holdout_G01,test
G01_R0199,G01,holdout_G01,test
G01_R0200,G01,holdout_G01,test
G01_R0201,G01,holdout_G01,test
G01_R0202,G01,holdout_G01,test
G01_R0203,G01,holdout_G01,test
G01_R0204,G01,holdout_G01,test
G01_R0205,G01,holdout_G01,test
G01_R0206,G01,holdout_G01,test
G01_R0207,G01,holdout_G01,test
G01_R0208,G01,holdout_G01,test
G01_R0209,G01,holdout_G01,test
G01_R0210,G01,holdout_G01,test
G01_R0211,G01,holdout_G01,test
G01_R0212,G01,holdout_G01,test
G01_R0213,G01,holdout_G01,test
G01_R0214,G01,holdout_G01,test
G01_R0215,G01,holdout_G01,test
G01_R0216,G01,holdout_G01,test
G01_R0217,G01,holdout_G01,test
G01_R0218,G01,holdout_G01,test
G01_R0219,G01,holdout_G01,test
G01_R0220,G01,holdout_G01,test
G01_R0221,G01,holdout_G01,test
G01_R0222,G01,holdout_G01,test
G01_R0223,G01,holdout_G01,test
G01_R0224,G01,holdout_G01,test
G01_R0225,G01,holdout_G01,test
G01_R0226,G01,holdout_G01,test
G01_R0227,G01,holdout_G01,test
G01_R0228,G01,holdout_G01,test
G01_R0229,G01,holdout_G01,test
G01_R0230,G01,holdout_G01,test
G01_R0231,G01,holdout_G01,test
G01_R0232,G01,holdout_G01,test
G01_R0233,G01,holdout_G01,test
G01_R0234,G01,holdout_G01,test
G01_R0235,G01,holdout_G01,test
G01_R0236,G01,holdout_G01,test
G01_R0237,G01,holdout_G01,test
G01_R0238,G01,holdout_G01,test
G01_R0239,G01,holdout_G01,test
G01_R0240,G01,holdout_G01,test
G01_R0241,G01,holdout_G01,test
G01_R0242,G01,holdout_G01,test
G01_R0243,G01,holdout_G01,test
G01_R0244,G01,holdout_G01,test
G01_R0245,G01,holdout_G01,test
G01_R0246,G01,holdout_G01,test
G01_R0247,G01,holdout_G01,test
G01_R0248,G01,holdout_G01,test
G01_R0249,G01,holdout_G01,test
G01_R0250,G01,holdout_G01,test
G01_R0251,G01,holdout_G01,test
G01_R0252,G01,holdout_G01,test
G01_R0253,G01,holdout_G01,test
G01_R0254,G01,holdout_G01,test
G01_R0255,G01,holdout_G01,test
G01_R0256,G01,holdout_G01,test
G01_R0257,G01,holdout_G01,test
G01_R0258,G01,holdout_G01,test
G01_R0259,G01,holdout_G01,test
G01_R0260,G01,holdout_G01,test
G01_R0261,G01,holdout_G01,test
G01_R0262,G01,holdout_G01,test
G01_R0263,G01,holdout_G01,test
G01_R0264,G01,holdout_G01,test
G01_R0265,G01,holdout_G01,test
G01_R0266,G01,holdout_G01,test
G01_R0267,G01,holdout_G01,test
G01_R0268,G01,holdout_G01,test
G01_R0269,G01,holdout_G01,test
G01_R0270,G01,holdout_G01,test
G01_R0271,G01,holdout_G01,test
G01_R0272,G01,holdout_G01,test
G01_R0273,G01,holdout_G01,test
G01_R0274,G01,holdout_G01,test
G01_R0275,G01,holdout_G01,test
G01_R0276,G01,holdout_G01,test
G01_R0277,G01,holdout_G01,test
G01_R0278,G01,holdout_G01,test
G01_R0279,G01,holdout_G01,test
G01_R0280,G01,holdout_G01,test
G01_R0281,G01,holdout_G01,test
G01_R0282,G01,holdout_G01,test
G01_R0283,G01,holdout_G01,test
G01_R0284,G01,holdout_G01,test
G01_R0285,G01,holdout_G01,test
G01_R0286,G01,holdout_G01,test
G01_R0287,G01,holdout_G01,test
G01_R0288,G01,holdout_G01,test
G01_R0289,G01,holdout_G01,test
G01_R0290,G01,holdout_G01,test
G01_R0291,G01,holdout_G01,test
G01_R0292,G01,holdout_G01,test
G01_R0293,G01,holdout_G01,test
G01_R0294,G01,holdout_G01,test
G01_R0295,G01,holdout_G01,test
G01_R0296,G01,holdout_G01,test
G01_R0297,G01,holdout_G01,test
G01_R0298,G01,holdout_G01,test
G01_R0299,G01,holdout_G01,test
G01_R0300,G01,holdout_G01,test
G01_R0301,G01,holdout_G01,test
G01_R0302,G01,holdout_G01,test
G01_R0303,G01,holdout_G01,test
G01_R0304,G01,holdout_G01,test
G01_R0305,G01,holdout_G01,test
G01_R0306,G01,holdout_G01,test
G01_R0307,G01,holdout_G01,test
G01_R0308,G01,holdout_G01,test
G01_R0309,G01,holdout_G01,test
G01_R0310,G01,holdout_G01,test
G01_R0311,G01,holdout_G01,test
G01_R0312,G01,holdout_G01,test
G01_R0313,G01,holdout_G01,test
G01_R0314,G01,holdout_G01,test
G01_R0315,G01,holdout_G01,test
G01_R0316,G01,holdout_G01,test
G01_R0317,G01,holdout_G01,test
G01_R0318,G01,holdout_G01,test
G01_R0319,G01,holdout_G01,test
G01_R0320,G01,holdout_G01,test
G01_R0321,G01,holdout_G01,test
G01_R0322,G01,holdout_G01,test
G01_R0323,G01,holdout_G01,test
G01_R0324,G01,holdout_G01,test
G01_R0325,G01,holdout_G01,test
G01_R0326,G01,holdout_G01,test
G01_R0327,G01,holdout_G01,test
G01_R0328,G01,holdout_G01,test
G01_R0329,G01,holdout_G01,test
G01_R0330,G01,holdout_G01,test
G01_R0331,G01,holdout_G01,test
G01_R0332,G01,holdout_G01,test
G01_R0333,G01,holdout_G01,test
G01_R0334,G01,holdout_G01,test
G01_R0335,G01,holdout_G01,test
G01_R0336,G01,holdout_G01,test
G01_R0337,G01,holdout_G01,test
G01_R0338,G01,holdout_G01,test
G01_R0339,G01,holdout_G01,test
G01_R0340,G01,holdout_G01,test
G01_R0341,G01,holdout_G01,test
G01_R0342,G01,holdout_G01,test
G01_R0343,G01,holdout_G01,test
G01_R0344,G01,holdout_G01,test
G01_R0345,G01,holdout_G01,test
G01_R0346,G01,holdout_G01,test
G01_R0347,G01,holdout_G01,test
G01_R0348,G01,holdout_G01,test
G01_R0349,G01,holdout_G01,test
G01_R0350,G01,holdout_G01,test
G01_R0351,G01,holdout_G01,test
G01_R0352,G01,holdout_G01,test
G01_R0353,G01,holdout_G01,test
G01_R0354,G01,holdout_G01,test
G01_R0355,G01,holdout_G01,test
G01_R0356,G01,holdout_G01,test
G01_R0357,G01,holdout_G01,test
G01_R0358,G01,holdout_G01,test
G01_R0359,G01,holdout_G01,test
G01_R0360,G01,holdout_G01,test
G01_R0361,G01,holdout_G01,test
G01_R0362,G01,holdout_G01,test
G01_R0363,G01,holdout_G01,test
G01_R0364,G01,holdout_G01,test
G01_R0365,G01,holdout_G01,test
G01_R0366,G01,holdout_G01,test
G01_R0367,G01,holdout_G01,test
G01_R0368,G01,holdout_G01,test
G01_R0369,G01,holdout_G01,test
G01_R0370,G01,holdout_G01,test
G01_R0371,G01,holdout_G01,test
G01_R0372,G01,holdout_G01,test
G01_R0373,G01,holdout_G01,test
G01_R0374,G01,holdout_G01,test
G01_R0375,G01,holdout_G01,test
G01_R0376,G01,holdout_G01,test
G01_R0377,G01,holdout_G01,test
G01_R0378,G01,holdout_G01,test
G01_R0379,G01,holdout_G01,test
G01_R0380,G01,holdout_G01,test
G01_R0381,G01,holdout_G01,test
G01_R0382,G01,holdout_G01,test
G01_R0383,G01,holdout_G01,test
G01_R0384,G01,holdout_G01,test
G01_R0385,G01,holdout_G01,test
G01_R0386,G01,holdout_G01,test
G01_R0387,G01,holdout_G01,test
G01_R0388,G01,holdout_G01,test
G01_R0389,G01,holdout_G01,test
G01_R0390,G01,holdout_G01,test
G01_R0391,G01,holdout_G01,test
G01_R0392,G01,holdout_G01,test
G01_R0393,G01,holdout_G01,test
G01_R0394,G01,holdout_G01,test
G01_R0395,G01,holdout_G01,test
G01_R0396,G01,holdout_G01,test
G01_R0397,G01,holdout_G01,test
G01_R0398,G01,holdout_G01,test
G01_R0399,G01,holdout_G01,test
G01_R0400,G01,holdout_G01,test
G01_R0401,G01,holdout_G01,test
G01_R0402,G01,holdout_G01,test
G01_R0403,G01,holdout_G01,test
G01_R0404,G01,holdout_G01,test
G01_R0405,G01,holdout_G01,test
G01_R0406,G01,holdout_G01,test
G01_R0407,G01,holdout_G01,test
G01_R0408,G01,holdout_G01,test
G01_R0409,G01,holdout_G01,test
G01_R0410,G01,holdout_G01,test
G01_R0411,G01,holdout_G01,test
G01_R0412,G01,holdout_G01,test
G01_R0413,G01,holdout_G01,test
G01_R0414,G01,holdout_G01,test
G01_R0415,G01,holdout_G01,test
G01_R0416,G01,holdout_G01,test
G01_R0417,G01,holdout_G01,test
G01_R0418,G01,holdout_G01,test
G01_R0419,G01,holdout_G01,test
G01_R0420,G01,holdout_G01,test
G01_R0421,G01,holdout_G01,test
G01_R0422,G01,holdout_G01,test
G01_R0423,G01,holdout_G01,test
G01_R0424,G01,holdout_G01,test
G01_R0425,G01,holdout_G01,test
G01_R0426,G01,holdout_G01,test
G01_R0427,G01,holdout_G01,test
G01_R0428,G01,holdout_G01,test
G01_R0429,G01,holdout_G01,test
G01_R0430,G01,holdout_G01,test
G01_R0431,G01,holdout_G01,test
G01_R0432,G01,holdout_G01,test
G01_R0433,G01,holdout_G01,test
G01_R0434,G01,holdout_G01,test
G01_R0435,G01,holdout_G01,test
G01_R0436,G01,holdout_G01,test
G01_R0437,G01,holdout_G01,test
G01_R0438,G01,holdout_G01,test
G01_R0439,G01,holdout_G01,test
G01_R0440,G01,holdout_G01,test
G01_R0441,G01,holdout_G01,test
G01_R0442,G01,holdout_G01,test
G01_R0443,G01,holdout_G01,test
G01_R0444,G01,holdout_G01,test
G01_R0445,G01,holdout_G01,test
G01_R0446,G01,holdout_G01,test
G01_R0447,G01,holdout_G01,test
G01_R0448,G01,holdout_G01,test
G01_R0449,G01,holdout_G01,test
G01_R0450,G01,holdout_G01,test
G01_R0451,G01,holdout_G01,test
G01_R0452,G01,holdout_G01,test
G01_R0453,G01,holdout_G01,test
G01_R0454,G01,holdout_G01,test
G01_R0455,G01,holdout_G01,test
G01_R0456,G01,holdout_G01,test
G01_R0457,G01,holdout_G01,test
G01_R0458,G01,holdout_G01,test
G01_R0459,G01,holdout_G01,test
G01_R0460,G01,holdout_G01,test
G01_R0461,G01,holdout_G01,test
G01_R0462,G01,holdout_G01,test
G01_R0463,G01,holdout_G01,test
G01_R0464,G01,holdout_G01,test
G01_R0465,G01,holdout_G01,test
G01_R0466,G01,holdout_G01,test
G01_R0467,G01,holdout_G01,test
G01_R0468,G01,holdout_G01,test
G01_R0469,G01,holdout_G01,test
G01_R0470,G01,holdout_G01,test
G01_R0471,G01,holdout_G01,test
G01_R0472,G01,holdout_G01,test
G01_R0473,G01,holdout_G01,test
G01_R0474,G01,holdout_G01,test
G01_R0475,G01,holdout_G01,test
G01_R0476,G01,holdout_G01,test
G01_R0477,G01,holdout_G01,test
G01_R0478,G01,holdout_G01,test
G01_R0479,G01,holdout_G01,test
G01_R0480,G01,holdout_G01,test
G01_R0481,G01,holdout_G01,test
G01_R0482,G01,holdout_G01,test
G01_R0483,G01,holdout_G01,test
G01_R0484,G01,holdout_G01,test
G01_R0485,G01,holdout_G01,test
G01_R0486,G01,holdout_G01,test
G01_R0487,G01,holdout_G01,test
G01_R0488,G01,holdout_G01,test
G01_R0489,G01,holdout_G01,test
G01_R0490,G01,holdout_G01,test
G01_R0491,G01,holdout_G01,test
G01_R0492,G01,holdout_G01,test
G01_R0493,G01,holdout_G01,test
G01_R0494,G01,holdout_G01,test
G01_R0495,G01,holdout_G01,test
G01_R0496,G01,holdout_G01,test
G01_R0497,G01,holdout_G01,test
G01_R0498,G01,holdout_G01,test
G01_R0499,G01,holdout_G01,test
G01_R0500,G01,holdout_G01,test
G01_R0501,G01,holdout_G01,test
G01_R0502,G01,holdout_G01,test
G01_R0503,G01,holdout_G01,test
G01_R0504,G01,holdout_G01,test
G01_R0505,G01,holdout_G01,test
G01_R0506,G01,holdout_G01,test
G01_R0507,G01,holdout_G01,test
G01_R0508,G01,holdout_G01,test
G01_R0509,G01,holdout_G01,test
G01_R0510,G01,holdout_G01,test
G01_R0511,G01,holdout_G01,test
G01_R0512,G01,holdout_G01,test
G01_R0513,G01,holdout_G01,test
G01_R0514,G01,holdout_G01,test
G01_R0515,G01,holdout_G01,test
G01_R0516,G01,holdout_G01,test
G01_R0517,G01,holdout_G01,test
G01_R0518,G01,holdout_G01,test
G01_R0519,G01,holdout_G01,test
G01_R0520,G01,holdout_G01,test
G01_R0521,G01,holdout_G01,test
G01_R0522,G01,holdout_G01,test
G01_R0523,G01,holdout_G01,test
G01_R0524,G01,holdout_G01,test
G01_R0525,G01,holdout_G01,test
G01_R0526,G01,holdout_G01,test
G01_R0527,G01,holdout_G01,test
G01_R0528,G01,holdout_G01,test
G01_R0529,G01,holdout_G01,test
G01_R0530,G01,holdout_G01,test
G01_R0531,G01,holdout_G01,test
G01_R0532,G01,holdout_G01,test
G01_R0533,G01,holdout_G01,test
G01_R0534,G01,holdout_G01,test
G01_R0535,G01,holdout_G01,test
G01_R0536,G01,holdout_G01,test
G01_R0537,G01,holdout_G01,test
G01_R0538,G01,holdout_G01,test
G01_R0539,G01,holdout_G01,test
G01_R0540,G01,holdout_G01,test
G01_R0541,G01,holdout_G01,test
G01_R0542,G01,holdout_G01,test
G01_R0543,G01,holdout_G01,test
G01_R0544,G01,holdout_G01,test
G01_R0545,G01,holdout_G01,test
G01_R0546,G01,holdout_G01,test
G01_R0547,G01,holdout_G01,test
G01_R0548,G01,holdout_G01,test
G01_R0549,G01,holdout_G01,test
G01_R0550,G01,holdout_G01,test
G01_R0551,G01,holdout_G01,test
G01_R0552,G01,holdout_G01,test
G01_R0553,G01,holdout_G01,test
G01_R0554,G01,holdout_G01,test
G01_R0555,G01,holdout_G01,test
G01_R0556,G01,holdout_G01,test
G01_R0557,G01,holdout_G01,test
G01_R0558,G01,holdout_G01,test
G01_R0559,G01,holdout_G01,test
G01_R0560,G01,holdout_G01,test
G01_R0561,G01,holdout_G01,test
G01_R0562,G01,holdout_G01,test
G01_R0563,G01,holdout_G01,test
G01_R0564,G01,holdout_G01,test
G01_R0565,G01,holdout_G01,test
G01_R0566,G01,holdout_G01,test
G01_R0567,G01,holdout_G01,test
G01_R0568,G01,holdout_G01,test
G01_R0569,G01,holdout_G01,test
G01_R0570,G01,holdout_G01,test
G01_R0571,G01,holdout_G01,test
G01_R0572,G01,holdout_G01,test
G01_R0573,G01,holdout_G01,test
G01_R0574,G01,holdout_G01,test
G01_R0575,G01,holdout_G01,test
G01_R0576,G01,holdout_G01,test
G01_R0577,G01,holdout_G01,test
G01_R0578,G01,holdout_G01,test
G01_R0579,G01,holdout_G01,test
G01_R0580,G01,holdout_G01,test
G01_R0581,G01,holdout_G01,test
G01_R0582,G01,holdout_G01,test
G01_R0583,G01,holdout_G01,test
G01_R0584,G01,holdout_G01,test
G01_R0585,G01,holdout_G01,test
G01_R0586,G01,holdout_G01,test
G01_R0587,G01,holdout_G01,test
G01_R0588,G01,holdout_G01,test
G01_R0589,G01,holdout_G01,test
G01_R0590,G01,holdout_G01,test
G01_R0591,G01,holdout_G01,test
G01_R0592,G01,holdout_G01,test
G01_R0593,G01,holdout_G01,test
G01_R0594,G01,holdout_G01,test
G01_R0595,G01,holdout_G01,test
G01_R0596,G01,holdout_G01,test
G01_R0597,G01,holdout_G01,test
G01_R0598,G01,holdout_G01,test
G01_R0599,G01,holdout_G01,test
G01_R0600,G01,holdout_G01,test
G01_R0601,G01,holdout_G01,test
G01_R0602,G01,holdout_G01,test
G01_R0603,G01,holdout_G01,test
G01_R0604,G01,holdout_G01,test
G01_R0605,G01,holdout_G01,test
G01_R0606,G01,holdout_G01,test
G01_R0607,G01,holdout_G01,test
G01_R0608,G01,holdout_G01,test
G01_R0609,G01,holdout_G01,test
G01_R0610,G01,holdout_G01,test
G01_R0611,G01,holdout_G01,test
G01_R0612,G01,holdout_G01,test
G01_R0613,G01,holdout_G01,test
G01_R0614,G01,holdout_G01,test
G01_R0615,G01,holdout_G01,test
G01_R0616,G01,holdout_G01,test
G01_R0617,G01,holdout_G01,test
G01_R0618,G01,holdout_G01,test
G01_R0619,G01,holdout_G01,test
G01_R0620,G01,holdout_G01,test
G01_R0621,G01,holdout_G01,test
G01_R0622,G01,holdout_G01,test
G01_R0623,G01,holdout_G01,test
G01_R0624,G01,holdout_G01,test
G01_R0625,G01,holdout_G01,test
G01_R0626,G01,holdout_G01,test
G01_R0627,G01,holdout_G01,test
G01_R0628,G01,holdout_G01,test
G01_R0629,G01,holdout_G01,test
G01_R0630,G01,holdout_G01,test
G01_R0631,G01,holdout_G01,test
G01_R0632,G01,holdout_G01,test
G01_R0633,G01,holdout_G01,test
G01_R0634,G01,holdout_G01,test
G01_R0635,G01,holdout_G01,test
G01_R0636,G01,holdout_G01,test
G01_R0637,G01,holdout_G01,test
G01_R0638,G01,holdout_G01,test
G01_R0639,G01,holdout_G01,test
G01_R0640,G01,holdout_G01,test
G01_R0641,G01,holdout_G01,test
G01_R0642,G01,holdout_G01,test
G01_R0643,G01,holdout_G01,test
G01_R0644,G01,holdout_G01,test
G01_R0645,G01,holdout_G01,test
G01_R0646,G01,holdout_G01,test
G01_R0647,G01,holdout_G01,test
G01_R0648,G01,holdout_G01,test
G01_R0649,G01,holdout_G01,test
G01_R0650,G01,holdout_G01,test
G01_R0651,G01,holdout_G01,test
G01_R0652,G01,holdout_G01,test
G01_R0653,G01,holdout_G01,test
G01_R0654,G01,holdout_G01,test
G01_R0655,G01,holdout_G01,test
G01_R0656,G01,holdout_G01,test
G01_R0657,G01,holdout_G01,test
G01_R0658,G01,holdout_G01,test
G01_R0659,G01,holdout_G01,test
G01_R0660,G01,holdout_G01,test
G01_R0661,G01,holdout_G01,test
G01_R0662,G01,holdout_G01,test
G01_R0663,G01,holdout_G01,test
G01_R0664,G01,holdout_G01,test
G01_R0665,G01,holdout_G01,test
G01_R0666,G01,holdout_G01,test
G01_R0667,G01,holdout_G01,test
G01_R0668,G01,holdout_G01,test
G01_R0669,G01,holdout_G01,test
G01_R0670,G01,holdout_G01,test
G01_R0671,G01,holdout_G01,test
G01_R0672,G01,holdout_G01,test
G01_R0673,G01,holdout_G01,test
G01_R0674,G01,holdout_G01,test
G01_R0675,G01,holdout_G01,test
G01_R0676,G01,holdout_G01,test
G01_R0677,G01,holdout_G01,test
G01_R0678,G01,holdout_G01,test
G01_R0679,G01,holdout_G01,test
G01_R0680,G01,holdout_G01,test
G01_R0681,G01,holdout_G01,test
G01_R0682,G01,holdout_G01,test
G01_R0683,G01,holdout_G01,test
G01_R0684,G01,holdout_G01,test
G01_R0685,G01,holdout_G01,test
G01_R0686,G01,holdout_G01,test
G01_R0687,G01,holdout_G01,test
G01_R0688,G01,holdout_G01,test
G01_R0689,G01,holdout_G01,test
G01_R0690,G01,holdout_G01,test
G01_R0691,G01,holdout_G01,test
G01_R0692,G01,holdout_G01,test
G01_R0693,G01,holdout_G01,test
G01_R0694,G01,holdout_G01,test
G01_R0695,G01,holdout_G01,test
G01_R0696,G01,holdout_G01,test
G01_R0697,G01,holdout_G01,test
G01_R0698,G01,holdout_G01,test
G01_R0699,G01,holdout_G01,test
G01_R0700,G01,holdout_G01,test
G01_R0701,G01,holdout_G01,test
G01_R0702,G01,holdout_G01,test
G01_R0703,G01,holdout_G01,test
G01_R0704,G01,holdout_G01,test
G01_R0705,G01,holdout_G01,test
G01_R0706,G01,holdout_G01,test
G01_R0707,G01,holdout_G01,test
G01_R0708,G01,holdout_G01,test
G01_R0709,G01,holdout_G01,test
G01_R0710,G01,holdout_G01,test
G01_R0711,G01,holdout_G01,test
G01_R0712,G01,holdout_G01,test
G01_R0713,G01,holdout_G01,test
G01_R0714,G01,holdout_G01,test
G01_R0715,G01,holdout_G01,test
G01_R0716,G01,holdout_G01,test
G01_R0717,G01,holdout_G01,test
G01_R0718,G01,holdout_G01,test
G01_R0719,G01,holdout_G01,test
G01_R0720,G01,holdout_G01,test
G01_R0721,G01,holdout_G01,test
G01_R0722,G01,holdout_G01,test
G01_R0723,G01,holdout_G01,test
G01_R0724,G01,holdout_G01,test
G01_R0725,G01,holdout_G01,test
G01_R0726,G01,holdout_G01,test
G01_R0727,G01,holdout_G01,test
G01_R0728,G01,holdout_G01,test
G01_R0729,G01,holdout_G01,test
G01_R0730,G01,holdout_G01,test
G01_R0731,G01,holdout_G01,test
G01_R0732,G01,holdout_G01,test
G01_R0733,G01,holdout_G01,test
G01_R0734,G01,holdout_G01,test
