case_uid,split
G01_R0204,test
G01_R0205,train
G01_R0206,test
G01_R0207,train
G01_R0208,train
G01_R0209,train
G01_R0210,train
G01_R0211,train
G01_R0212,test
G01_R0213,train
G01_R0214,train
G01_R0215,test
G01_R0216,train
G01_R0217,train
G01_R0218,train
G01_R0219,train
G01_R0220,train
G01_R0221,test
G01_R0222,train
G01_R0223,train
G01_R0224,train
G01_R0225,train
G01_R0226,train
G01_R0227,train
G01_R0228,train
G01_R0229,train
G01_R0230,train
G01_R0231,test
G01_R0232,train
G01_R0233,train
G01_R0234,test
G01_R0235,train
G01_R0236,train
G01_R0237,train
G01_R0238,train
G01_R0239,test
G01_R0240,test
G01_R0241,test
G01_R0242,train
G01_R0243,train
G01_R0244,train
G01_R0245,train
G01_R0246,train
G01_R0247,train
G01_R0248,train
G01_R0249,train
G01_R0250,train
G01_R0251,train
G01_R0252,test
G01_R0253,test
G01_R0254,train
G01_R0255,test
G01_R0256,train
G01_R0257,train
G01_R0258,train
G01_R0259,train
G01_R0260,train
G01_R0261,train
G01_R0262,train
G01_R0263,train
G01_R0264,train
G01_R0265,train
G01_R0266,train
G01_R0267,train
G01_R0268,train
G01_R0269,train
G01_R0270,train
G01_R0271,test
G01_R0272,train
G01_R0273,train
G01_R0274,train
G01_R0275,test
G01_R0276,train
G01_R0277,train
G01_R0278,train
G01_R0279,train
G01_R0280,test
G01_R0281,train
G01_R0282,train
G01_R0283,train
G01_R0284,train
G01_R0285,train
G01_R0286,train
G01_R0287,train
G01_R0288,test
G01_R0289,train
G01_R0290,test
G01_R0291,test
G01_R0292,test
G01_R0293,train
G01_R0294,train
G01_R0295,train
G01_R0296,train
G01_R0297,test
G01_R0298,test
G01_R0299,test
G01_R0300,train
G01_R0301,train
G01_R0302,train
G01_R0303,train
G01_R0304,train
G01_R0305,train
G01_R0306,test
G01_R0307,train
G01_R0308,train
G01_R0309,test
G01_R0310,test
G01_R0311,train
G01_R0312,train
G01_R0313,train
G01_R0314,train
G01_R0315,test
G01_R0316,test
G01_R0317,train
G01_R0318,train
G01_R0319,test
G01_R0320,train
G01_R0321,train
G01_R0322,train
G01_R0323,test
G01_R0324,train
G01_R0325,train
G01_R0326,train
G01_R0327,train
G01_R0328,train
G01_R0329,train
G01_R0330,train
G01_R0331,train
G01_R0332,train
G01_R0333,test
G01_R0334,train
G01_R0335,train
G01_R0336,train
G01_R0337,train
G01_R0338,train
G01_R0339,train
G01_R0340,train
G01_R0341,train
G01_R0342,train
G01_R0343,train
G01_R0344,train
G01_R0345,train
G01_R0346,train
G01_R0347,train
G01_R0348,train
G01_R0349,train
G01_R0350,train
G01_R0351,test
G01_R0352,test
G01_R0353,train
G01_R0354,train
G01_R0355,test
G01_R0356,train
G01_R0357,test
G01_R0358,train
G01_R0359,train
G01_R0360,train
G01_R0361,test
G01_R0362,train
G01_R0363,train
G01_R0364,train
G01_R0365,train
G01_R0366,train
G01_R0367,test
G01_R0368,test
G01_R0369,train
G01_R0370,train
G01_R0371,train
G01_R0372,test
G01_R0373,train
G01_R0374,train
G01_R0375,train
G01_R0376,train
G01_R0377,test
G01_R0378,train
G01_R0379,train
G01_R0380,train
G01_R0381,train
G01_R0382,train
G01_R0383,train
G01_R0384,train
G01_R0385,train
G01_R0386,train
G01_R0387,train
G01_R0388,test
G01_R0389,train
G01_R0390,train
G01_R0391,train
G01_R0392,train
G01_R0393,train
G01_R0394,test
G01_R0395,train
G01_R0396,train
G01_R0397,train
G01_R0398,train
G01_R0399,train
G01_R0400,train
G01_R0401,train
G01_R0402,train
G01_R0403,test
G01_R0404,train
G01_R0405,train
G01_R0406,train
G01_R0407,train
G01_R0408,train
G01_R0409,train
G01_R0410,train
G01_R0411,test
G01_R0412,train
G01_R0413,train
G01_R0414,train
G01_R0415,test
G01_R0416,test
G01_R0417,test
G01_R0418,train
G01_R0419,train
G01_R0420,train
G01_R0421,train
G01_R0422,train
G01_R0423,train
G01_R0424,train
G01_R0425,train
G01_R0426,train
G01_R0427,test
G01_R0428,train
G01_R0429,train
G01_R0430,test
G01_R0431,train
G01_R0432,train
G01_R0433,test
G01_R0434,train
G01_R0435,train
G01_R0436,train
G01_R0437,train
G01_R0438,train
G01_R0439,test
G01_R0440,train
G01_R0441,train
G01_R0442,train
G01_R0443,train
G01_R0444,test
G01_R0445,train
G01_R0446,test
G01_R0447,train
G01_R0448,train
G01_R0449,train
G01_R0450,train
G01_R0451,test
G01_R0452,train
G01_R0453,test
G01_R0454,train
G01_R0455,train
G01_R0456,train
G01_R0457,train
G01_R0458,test
G01_R0459,train
G01_R0460,train
G01_R0461,train
G01_R0462,test
G01_R0463,train
G01_R0464,test
G01_R0465,train
G01_R0466,test
G01_R0467,train
G01_R0468,train
G01_R0469,test
G01_R0470,train
G01_R0471,train
G01_R0472,test
G01_R0473,test
G01_R0474,train
G01_R0475,train
G01_R0476,train
G01_R0477,train
G01_R0478,train
G01_R0479,test
G01_R0480,train
G01_R0481,train
G01_R0482,train
G01_R0483,train
G01_R0484,train
G01_R0485,train
G01_R0486,train
G01_R0487,test
G01_R0488,train
G01_R0489,train
G01_R0490,train
G01_R0491,test
G01_R0492,train
G01_R0493,train
G01_R0494,train
G01_R0495,test
G01_R0496,test
G01_R0497,train
G01_R0498,test
G01_R0499,train
G01_R0500,train
G01_R0501,train
G01_R0502,train
G01_R0503,train
G01_R0504,train
G01_R0505,train
G01_R0506,test
G01_R0507,test
G01_R0508,train
G01_R0509,train
G01_R0510,train
G01_R0511,train
G01_R0512,test
G01_R0513,train
G01_R0514,train
G01_R0515,train
G01_R0516,train
G01_R0517,train
G01_R0518,train
G01_R0519,train
G01_R0520,train
G01_R0521,train
G01_R0522,train
G01_R0523,train
G01_R0524,train
G01_R0525,train
G01_R0526,train
G01_R0527,train
G01_R0528,train
G01_R0529,train
G01_R0530,train
G01_R0531,test
G01_R0532,train
G01_R0533,train
G01_R0534,test
G01_R0535,test
G01_R0536,train
G01_R0537,train
G01_R0538,train
G01_R0539,test
G01_R0540,train
G01_R0541,train
G01_R0542,train
G01_R0543,train
G01_R0544,train
G01_R0545,test
G01_R0546,train
G01_R0547,train
G01_R0548,train
G01_R0549,train
G01_R0550,train
G01_R0551,train
G01_R0552,test
G01_R0553,train
G01_R0554,train
G01_R0555,train
G01_R0556,test
G01_R0557,train
G01_R0558,train
G01_R0559,train
G01_R0560,train
G01_R0561,train
G01_R0562,test
G01_R0563,train
G01_R0564,train
G01_R0565,train
G01_R0566,test
G01_R0567,train
G01_R0568,test
G01_R0569,test
G01_R0570,train
G01_R0571,train
G01_R0572,train
G01_R0573,train
G01_R0574,train
G01_R0575,train
G01_R0576,train
G01_R0577,train
G01_R0578,train
G01_R0579,train
G01_R0580,train
G01_R0581,train
G01_R0582,train
G01_R0583,test
G01_R0584,train
G01_R0585,test
G01_R0586,train
G01_R0587,test
G01_R0588,train
G01_R0589,train
G01_R0590,test
G01_R0591,train
G01_R0592,train
G01_R0593,train
G01_R0594,train
G01_R0595,test
G01_R0596,train
G01_R0597,test
G01_R0598,train
G01_R0599,test
G01_R0600,test
G01_R0601,train
G01_R0602,train
G01_R0603,test
G01_R0604,train
G01_R0605,train
G01_R0606,test
G01_R0607,train
G01_R0608,train
G01_R0609,train
G01_R0610,train
G01_R0611,train
G01_R0612,train
G01_R0613,train
G01_R0614,train
G01_R0615,train
G01_R0616,train
G01_R0617,train
G01_R0618,train
G01_R0619,test
G01_R0620,train
G01_R0621,train
G01_R0622,test
G01_R0623,train
G01_R0624,train
G01_R0625,train
G01_R0626,test
G01_R0627,test
G01_R0628,train
G01_R0629,train
G01_R0630,train
G01_R0631,train
G01_R0632,train
G01_R0633,train
G01_R0634,test
G01_R0635,train
G01_R0636,train
G01_R0637,train
G01_R0638,train
G01_R0639,train
G01_R0640,train
G01_R0641,train
G01_R0642,train
G01_R0643,test
G01_R0644,train
G01_R0645,train
G01_R0646,train
G01_R0647,train
G01_R0648,train
G01_R0649,train
G01_R0650,train
G01_R0651,test
G01_R0652,train
G01_R0653,train
G01_R0654,train
G01_R0655,train
G01_R0656,test
G01_R0657,train
G01_R0658,test
G01_R0659,train
G01_R0660,train
G01_R0661,train
G01_R0662,train
G01_R0663,train
G01_R0664,train
G01_R0665,train
G01_R0666,train
G01_R0667,train
G01_R0668,train
G01_R0669,test
G01_R0670,train
G01_R0671,test
G01_R0672,train
G01_R0673,train
G01_R0674,train
G01_R0675,train
G01_R0676,train
G01_R0677,test
G01_R0678,test
G01_R0679,train
G01_R0680,train
G01_R0681,test
G01_R0682,train
G01_R0683,train
G01_R0684,test
G01_R0685,train
G01_R0686,train
G01_R0687,train
G01_R0688,train
G01_R0689,train
G01_R0690,train
G01_R0691,train
G01_R0692,test
G01_R0693,train
G01_R0694,test
G01_R0695,train
G01_R0696,train
G01_R0697,train
G01_R0698,train
G01_R0699,train
G01_R0700,train
G01_R0701,train
G01_R0702,train
G01_R0703,train
G01_R0704,train
G01_R0705,train
G01_R0706,test
G01_R0707,train
G01_R0708,train
G01_R0709,train
G01_R0710,train
G01_R0711,train
G01_R0712,train
G01_R0713,train
G01_R0714,train
G01_R0715,train
G01_R0716,train
G01_R0717,train
G01_R0718,train
G01_R0719,test
G01_R0720,train
G01_R0721,test
G01_R0722,test
G01_R0723,train
G01_R0724,train
G01_R0725,train
G01_R0726,train
G01_R0727,train
G01_R0728,train
G01_R0729,train
G01_R0730,train
G01_R0731,train
G01_R0732,test
G01_R0733,train
G01_R0734,train
G01_R0735,test
G01_R0736,train
G01_R0737,train
G01_R0738,train
G01_R0739,train
G01_R0740,train
G01_R0741,train
G01_R0742,train
G01_R0743,train
G01_R0744,train
G01_R0745,train
G01_R0746,train
G01_R0747,test
G01_R0748,train
G01_R0749,train
G01_R0750,train
G01_R0751,train
G01_R0752,test
G01_R0753,train
G01_R0754,train
G01_R0755,train
G01_R0756,train
G01_R0757,train
G01_R0758,train
G01_R0759,train
G01_R0760,test
G01_R0761,train
G01_R0762,train
G01_R0763,train
G01_R0764,train
G01_R0765,test
G01_R0766,test
G01_R0767,train
G01_R0768,train
G02_R0001,train
G02_R0002,train
G02_R0003,train
G02_R0004,train
G02_R0005,train
G02_R0006,train
G02_R0007,train
G02_R0008,train
G02_R0009,test
G02_R0010,train
G02_R0011,train
G02_R0012,train
G02_R0013,train
G02_R0014,train
G02_R0015,train
G02_R0016,train
G02_R0017,train
G02_R0018,train
G02_R0019,train
G02_R0020,test
G02_R0021,train
G02_R0022,test
G02_R0023,test
G02_R0024,train
G02_R0025,train
G02_R0026,train
G02_R0027,train
G02_R0028,train
G02_R0029,train
G02_R0030,train
G02_R0031,test
G02_R0032,train
G02_R0033,test
G02_R0034,train
G02_R0035,test
G02_R0036,test
G02_R0037,train
G02_R0038,test
G02_R0039,train
G02_R0040,test
G02_R0041,train
G02_R0042,train
G02_R0043,test
G02_R0044,test
G02_R0045,test
G02_R0046,train
G02_R0047,train
G02_R0048,train
G02_R0049,train
G02_R0050,train
G02_R0051,train
G02_R0052,train
G02_R0053,train
G02_R0054,train
G02_R0055,train
G02_R0056,train
G02_R0057,train
G02_R0058,train
G02_R0059,train
G02_R0060,train
G02_R0061,test
G02_R0062,test
G02_R0063,train
G02_R0064,test
G02_R0065,train
G02_R0066,test
G02_R0067,train
G02_R0068,train
G02_R0069,train
G02_R0070,train
G02_R0071,test
G02_R0072,train
G02_R0073,train
G02_R0074,train
G02_R0075,test
G02_R0076,test
G02_R0077,train
G02_R0078,train
G02_R0079,train
G02_R0080,train
G02_R0081,train
G02_R0082,train
G02_R0083,train
G02_R0084,train
G02_R0085,train
G02_R0086,train
G02_R0087,train
G02_R0088,train
G02_R0089,test
G02_R0090,train
G02_R0091,train
G02_R0092,test
G02_R0093,train
G02_R0094,train
G02_R0095,test
G02_R0096,train
G02_R0097,train
G02_R0098,train
G02_R0099,train
G02_R0100,train
G02_R0101,train
G02_R0102,test
G02_R0103,train
G02_R0104,test
G02_R0105,train
G02_R0106,train
G02_R0107,train
G02_R0108,train
G02_R0109,train
G02_R0110,test
G02_R0111,train
G02_R0112,test
G02_R0113,train
G02_R0114,test
G02_R0115,train
G02_R0116,train
G02_R0117,train
G02_R0118,train
G02_R0119,train
G02_R0120,train
G02_R0121,train
G02_R0122,test
G02_R0123,train
G02_R0124,train
G02_R0125,train
G02_R0126,test
G02_R0127,train
G02_R0128,train
G02_R0129,test
G02_R0130,train
G02_R0131,train
G02_R0132,train
G02_R0133,train
G02_R0134,train
G02_R0135,train
G02_R0136,train
G02_R0137,train
G02_R0138,train
G02_R0139,train
G02_R0140,test
G02_R0141,train
G02_R0142,train
G02_R0143,train
G02_R0144,test
G02_R0145,train
G02_R0146,train
G02_R0147,train
G02_R0148,test
G02_R0149,train
G02_R0150,train
G02_R0151,train
G02_R0152,train
G02_R0153,train
G02_R0154,train
G02_R0155,train
G02_R0156,train
G02_R0157,train
G02_R0158,train
G02_R0159,train
G02_R0160,train
G02_R0161,train
G02_R0162,train
G02_R0163,train
G02_R0164,test
G02_R0165,train
G02_R0166,train
G02_R0167,train
G02_R0168,train
G02_R0169,train
G02_R0170,test
G02_R0171,train
G02_R0172,train
G02_R0173,train
G02_R0174,train
G02_R0175,train
G02_R0176,train
G02_R0177,test
G02_R0178,test
G02_R0179,train
G02_R0180,train
G02_R0181,train
G02_R0182,test
G02_R0183,train
G02_R0184,train
G02_R0185,train
G02_R0186,train
G02_R0187,train
G02_R0188,train
G02_R0189,train
G02_R0190,train
G02_R0191,train
G02_R0192,train
G02_R0193,test
G02_R0194,train
G02_R0195,train
G02_R0196,train
G02_R0197,test
G02_R0198,train
G02_R0199,train
G02_R0200,train
G02_R0201,train
G02_R0202,test
G02_R0203,train
G02_R0204,train
G02_R0205,train
G02_R0206,train
G02_R0207,train
G02_R0208,train
G02_R0209,train
G02_R0210,test
G02_R0211,train
G02_R0212,train
G02_R0213,train
G02_R0214,train
G02_R0215,train
G02_R0216,train
G02_R0217,train
G02_R0218,train
G02_R0219,train
G02_R0220,train
G02_R0221,train
G02_R0222,train
G02_R0223,train
G02_R0224,train
G02_R0225,train
G02_R0226,train
G02_R0227,test
G02_R0228,train
G02_R0229,test
G02_R0230,train
G02_R0231,train
G02_R0232,test
G02_R0233,train
G02_R0234,test
G02_R0235,train
G02_R0236,train
G02_R0237,train
G02_R0238,train
G02_R0239,train
G02_R0240,train
G02_R0241,train
G02_R0242,train
G02_R0243,test
G02_R0244,train
G02_R0245,train
G02_R0246,train
G02_R0247,train
G02_R0248,train
G02_R0249,train
G02_R0250,train
G02_R0251,test
G02_R0252,train
G02_R0253,test
G02_R0254,train
G02_R0255,train
G02_R0256,train
G02_R0257,test
G02_R0258,test
G02_R0259,train
G02_R0260,test
G02_R0261,train
G02_R0262,test
G02_R0263,train
G02_R0264,train
G02_R0265,test
G02_R0266,train
G02_R0267,test
G02_R0268,train
G02_R0269,train
G02_R0270,train
G02_R0271,test
G02_R0272,train
G02_R0273,train
G02_R0274,test
G02_R0275,train
G02_R0276,train
G02_R0277,test
G02_R0278,train
G02_R0279,train
G02_R0280,train
G02_R0281,train
G02_R0282,train
G02_R0283,train
G02_R0284,test
G02_R0285,test
G02_R0286,train
G02_R0287,train
G02_R0288,test
G02_R0289,test
G02_R0290,test
G02_R0291,train
G02_R0292,train
G02_R0293,train
G02_R0294,train
G02_R0295,train
G02_R0296,train
G02_R0297,train
G02_R0298,train
G02_R0299,train
G02_R0300,train
G02_R0301,test
G02_R0302,train
G02_R0303,train
G02_R0304,train
G02_R0305,train
G02_R0306,train
G02_R0307,train
G02_R0308,test
G02_R0309,train
G02_R0310,train
G02_R0311,train
G02_R0312,train
G02_R0313,train
G02_R0314,train
G02_R0315,train
G02_R0316,train
G02_R0317,test
G02_R0318,train
G02_R0319,train
G02_R0320,train
G02_R0321,train
G02_R0322,train
G02_R0323,test
G02_R0324,train
G02_R0325,train
G02_R0326,train
G02_R0327,test
G02_R0328,train
G02_R0329,train
G02_R0330,train
G02_R0331,train
G02_R0332,train
G02_R0333,train
G02_R0334,train
G02_R0335,test
G02_R0336,test
G02_R0337,train
G02_R0338,train
G02_R0339,train
G02_R0340,train
G02_R0341,test
G02_R0342,train
G02_R0343,train
G02_R0344,train
G02_R0345,train
G02_R0346,test
G02_R0347,train
G02_R0348,test
G02_R0349,test
G02_R0350,test
G02_R0351,train
G02_R0352,train
G02_R0353,train
G02_R0354,train
G02_R0355,train
G02_R0356,train
G02_R0357,train
G02_R0358,train
G02_R0359,test
G02_R0360,train
G02_R0361,test
G02_R0362,test
G02_R0363,train
G02_R0364,train
G02_R0365,train
G02_R0366,train
G02_R0367,train
G02_R0368,train
G02_R0369,train
G02_R0370,train
G02_R0371,train
G02_R0372,train
G02_R0373,train
G02_R0374,train
G02_R0375,train
G02_R0376,train
G02_R0377,train
G02_R0378,train
G02_R0379,train
G02_R0380,train
G02_R0381,train
G02_R0382,test
G02_R0383,train
G02_R0384,train
G02_R0385,train
G02_R0386,train
G02_R0387,train
G02_R0388,train
G02_R0389,train
G02_R0390,train
G02_R0391,train
G02_R0392,train
G02_R0393,train
G02_R0394,test
G02_R0395,test
G02_R0396,train
G02_R0397,test
G02_R0398,train
G02_R0399,train
G02_R0400,train
G02_R0401,train
G02_R0402,train
G02_R0403,test
G02_R0404,train
G02_R0405,train
G02_R0406,test
G02_R0407,train
G02_R0408,train
G02_R0409,train
G02_R0410,train
G02_R0411,train
G02_R0412,train
G02_R0413,train
G02_R0414,test
G02_R0415,train
G02_R0416,test
G02_R0417,train
G02_R0418,train
G02_R0419,train
G02_R0420,test
G02_R0421,train
G02_R0422,train
G02_R0423,train
G02_R0424,train
G02_R0425,test
G02_R0426,train
G02_R0427,train
G02_R0428,train
G02_R0429,test
G02_R0430,test
G02_R0431,train
G02_R0432,train
G02_R0433,test
G02_R0434,train
G02_R0435,train
G02_R0436,train
G02_R0437,test
G02_R0438,train
G02_R0439,train
G02_R0440,train
G02_R0441,train
G02_R0442,test
G02_R0443,test
G02_R0444,train
G02_R0445,test
G02_R0446,train
G02_R0447,train
G02_R0448,train
G02_R0449,train
G02_R0450,train
G02_R0451,train
G02_R0452,train
G02_R0453,test
G02_R0454,test
G02_R0455,test
G02_R0456,train
G02_R0457,train
G02_R0458,train
G02_R0459,train
G02_R0460,train
G02_R0461,test
G02_R0462,train
G02_R0463,train
G02_R0464,test
G02_R0465,train
G02_R0466,train
G02_R0467,train
G02_R0468,test
G02_R0469,train
G02_R0470,train
G02_R0471,train
G02_R0472,train
G02_R0473,train
G02_R0474,train
G02_R0475,test
G02_R0476,train
G02_R0477,test
G02_R0478,train
G02_R0479,train
G02_R0480,train
G02_R0481,train
G02_R0482,train
G02_R0483,train
G02_R0484,train
G02_R0485,train
G02_R0486,test
G02_R0487,train
G02_R0488,test
G02_R0489,train
G02_R0490,train
G02_R0491,train
G02_R0492,train
G02_R0493,test
G02_R0494,test
G02_R0495,train
G02_R0496,train
G02_R0497,test
G02_R0498,train
G02_R0499,train
G02_R0500,train
G02_R0501,test
G02_R0502,train
G02_R0503,test
G02_R0504,train
G02_R0505,train
G02_R0506,train
G02_R0507,train
G02_R0508,train
G02_R0509,train
G02_R0510,train
G02_R0511,train
G02_R0512,train
G02_R0513,train
G02_R0514,test
G02_R0515,train
G02_R0516,train
G02_R0517,train
G02_R0518,train
G02_R0519,train
G02_R0520,train
G02_R0521,test
G02_R0522,train
G02_R0523,train
G02_R0524,train
G02_R0525,train
G02_R0526,train
G02_R0527,train
G02_R0528,test
G02_R0529,train
G02_R0530,train
G02_R0531,train
G02_R0532,train
G02_R0533,train
G02_R0534,train
G02_R0535,train
G02_R0536,train
G02_R0537,train
G02_R0538,train
G02_R0539,train
G02_R0540,train
G02_R0541,train
G02_R0542,test
G02_R0543,train
G02_R0544,train
G02_R0545,train
G02_R0546,train
G02_R0547,train
G02_R0548,test
G02_R0549,train
G02_R0550,train
G02_R0551,train
G02_R0552,train
G02_R0553,train
G02_R0554,train
G02_R0555,test
G02_R0556,train
G02_R0557,train
G02_R0558,train
G02_R0559,train
G02_R0560,train
G02_R0561,train
G02_R0562,train
G02_R0563,train
G02_R0564,train
G02_R0565,train
G02_R0566,train
G02_R0567,train
G02_R0568,train
G02_R0569,train
G02_R0570,train
G02_R0571,train
G02_R0572,train
G02_R0573,train
G02_R0574,train
G02_R0575,train
G02_R0576,train
G02_R0577,test
G02_R0578,test
G02_R0579,train
G02_R0580,train
G02_R0581,train
G02_R0582,train
G02_R0583,train
G02_R0584,train
G02_R0585,train
G02_R0586,train
G02_R0587,train
G02_R0588,train
G02_R0589,train
G02_R0590,train
G02_R0591,train
G02_R0592,train
G02_R0593,test
G02_R0594,train
G02_R0595,test
G02_R0596,train
G02_R0597,train
G02_R0598,train
G02_R0599,train
G02_R0600,train
G02_R0601,train
G02_R0602,train
G02_R0603,train
G02_R0604,train
G02_R0605,train
G02_R0606,train
G02_R0607,test
G02_R0608,test
G02_R0609,train
G02_R0610,train
G02_R0611,test
G02_R0612,train
G02_R0613,train
G02_R0614,train
G02_R0615,train
G02_R0616,train
G02_R0617,train
G02_R0618,train
G02_R0619,train
G02_R0620,train
G02_R0621,train
G02_R0622,train
G02_R0623,train
G02_R0624,test
G02_R0625,train
G02_R0626,train
G02_R0627,train
G02_R0628,train
G02_R0629,train
G02_R0630,test
G02_R0631,train
G02_R0632,train
G02_R0633,train
G02_R0634,train
G02_R0635,train
G02_R0636,train
G02_R0637,train
G02_R0638,train
G02_R0639,train
G02_R0640,test
G02_R0641,train
G02_R0642,train
G02_R0643,train
G02_R0644,test
G02_R0645,train
G02_R0646,test
G02_R0647,train
G02_R0648,train
G02_R0649,train
G02_R0650,test
G02_R0651,train
G02_R0652,test
G02_R0653,train
G02_R0654,test
G02_R0655,train
G02_R0656,train
G02_R0657,train
G02_R0658,test
G02_R0659,test
G02_R0660,test
G02_R0661,train
G02_R0662,train
G02_R0663,train
G02_R0664,train
G02_R0665,test
G02_R0666,train
G02_R0667,train
G02_R0668,train
G02_R0669,train
G02_R0670,test
G02_R0671,test
G02_R0672,train
G02_R0673,train
G02_R0674,train
G02_R0675,train
G02_R0676,train
G02_R0677,train
G02_R0678,train
G02_R0679,train
G02_R0680,train
G02_R0681,test
G02_R0682,train
G02_R0683,train
G02_R0684,test
G02_R0685,train
G02_R0686,train
G02_R0687,train
G02_R0688,train
G02_R0689,train
G02_R0690,train
G02_R0691,train
G02_R0692,train
G02_R0693,train
G02_R0694,test
G02_R0695,train
G02_R0696,train
G02_R0697,train
G02_R0698,train
G02_R0699,train
G02_R0700,test
G02_R0701,train
G02_R0702,train
G02_R0703,train
G02_R0704,train
G02_R0705,train
G02_R0706,train
G02_R0707,test
G02_R0708,train
G02_R0709,test
G02_R0710,train
G02_R0711,train
G02_R0712,test
G02_R0713,train
G02_R0714,train
G02_R0715,test
G02_R0716,train
G02_R0717,train
G02_R0718,test
G02_R0719,train
G02_R0720,train
G02_R0721,train
G02_R0722,train
G02_R0723,train
G02_R0724,test
G02_R0725,train
G02_R0726,train
G02_R0727,train
G02_R0728,train
G02_R0729,train
G02_R0730,train
G02_R0731,train
G02_R0732,train
G02_R0733,train
G02_R0734,test
G02_R0735,test
G02_R0736,test
G02_R0737,test
G02_R0738,train
G02_R0739,train
G02_R0740,test
G02_R0741,train
G02_R0742,train
G02_R0743,test
G02_R0744,train
G02_R0745,test
G02_R0746,train
G02_R0747,train
G02_R0748,test
G02_R0749,train
G02_R0750,train
G02_R0751,train
G02_R0752,train
G02_R0753,train
G02_R0754,train
G02_R0755,train
G02_R0756,train
G02_R0757,train
G02_R0758,train
G02_R0759,train
G02_R0760,train
G02_R0761,train
G02_R0762,train
G02_R0763,train
G02_R0764,train
G02_R0765,test
G02_R0766,test
G02_R0767,test
G02_R0768,train
G03_R0001,test
G03_R0002,train
G03_R0003,train
G03_R0004,train
G03_R0005,train
G03_R0006,train
G03_R0007,train
G03_R0008,train
G03_R0009,train
G03_R0010,test
G03_R0011,train
G03_R0012,train
G03_R0013,train
G03_R0014,train
G03_R0015,train
G03_R0016,train
G03_R0017,train
G03_R0018,test
