case_uid,Re,fold_name,split
G01_R0181,25,holdout_Re25,test
G01_R0182,25,holdout_Re25,test
G01_R0183,25,holdout_Re25,test
G01_R0184,25,holdout_Re25,test
G01_R0185,25,holdout_Re25,test
G01_R0186,25,holdout_Re25,test
G01_R0187,25,holdout_Re25,test
G01_R0188,25,holdout_Re25,test
G01_R0189,25,holdout_Re25,test
G01_R0190,25,holdout_Re25,test
G01_R0191,25,holdout_Re25,test
G01_R0192,25,holdout_Re25,test
G01_R0193,100,holdout_Re25,train
G01_R0194,100,holdout_Re25,train
G01_R0195,100,holdout_Re25,train
G01_R0196,100,holdout_Re25,train
G01_R0197,100,holdout_Re25,train
G01_R0198,100,holdout_Re25,train
G01_R0199,100,holdout_Re25,train
G01_R0200,100,holdout_Re25,train
G01_R0201,100,holdout_Re25,train
G01_R0202,100,holdout_Re25,train
G01_R0203,100,holdout_Re25,train
G01_R0204,100,holdout_Re25,train
G01_R0205,100,holdout_Re25,train
G01_R0206,100,holdout_Re25,train
G01_R0207,100,holdout_Re25,train
G01_R0208,100,holdout_Re25,train
G01_R0209,100,holdout_Re25,train
G01_R0210,100,holdout_Re25,train
G01_R0211,100,holdout_Re25,train
G01_R0212,100,holdout_Re25,train
G01_R0213,100,holdout_Re25,train
G01_R0214,100,holdout_Re25,train
G01_R0215,100,holdout_Re25,train
G01_R0216,100,holdout_Re25,train
G01_R0217,100,holdout_Re25,train
G01_R0218,100,holdout_Re25,train
G01_R0219,100,holdout_Re25,train
G01_R0220,100,holdout_Re25,train
G01_R0221,100,holdout_Re25,train
G01_R0222,100,holdout_Re25,train
G01_R0223,100,holdout_Re25,train
G01_R0224,100,holdout_Re25,train
G01_R0225,100,holdout_Re25,train
G01_R0226,100,holdout_Re25,train
G01_R0227,100,holdout_Re25,train
G01_R0228,100,holdout_Re25,train
G01_R0229,100,holdout_Re25,train
G01_R0230,100,holdout_Re25,train
G01_R0231,100,holdout_Re25,train
G01_R0232,100,holdout_Re25,train
G01_R0233,100,holdout_Re25,train
G01_R0234,100,holdout_Re25,train
G01_R0235,100,holdout_Re25,train
G01_R0236,100,holdout_Re25,train
G01_R0237,100,holdout_Re25,train
G01_R0238,100,holdout_Re25,train
G01_R0239,100,holdout_Re25,train
G01_R0240,100,holdout_Re25,train
G01_R0241,100,holdout_Re25,train
G01_R0242,100,holdout_Re25,train
G01_R0243,100,holdout_Re25,train
G01_R0244,100,holdout_Re25,train
G01_R0245,100,holdout_Re25,train
G01_R0246,100,holdout_Re25,train
G01_R0247,100,holdout_Re25,train
G01_R0248,100,holdout_Re25,train
G01_R0249,100,holdout_Re25,train
G01_R0250,100,holdout_Re25,train
G01_R0251,100,holdout_Re25,train
G01_R0252,100,holdout_Re25,train
G01_R0253,100,holdout_Re25,train
G01_R0254,100,holdout_Re25,train
G01_R0255,100,holdout_Re25,train
G01_R0256,100,holdout_Re25,train
G01_R0257,100,holdout_Re25,train
G01_R0258,100,holdout_Re25,train
G01_R0259,100,holdout_Re25,train
G01_R0260,100,holdout_Re25,train
G01_R0261,100,holdout_Re25,train
G01_R0262,100,holdout_Re25,train
G01_R0263,100,holdout_Re25,train
G01_R0264,100,holdout_Re25,train
G01_R0265,100,holdout_Re25,train
G01_R0266,100,holdout_Re25,train
G01_R0267,100,holdout_Re25,train
G01_R0268,100,holdout_Re25,train
G01_R0269,100,holdout_Re25,train
G01_R0270,100,holdout_Re25,train
G01_R0271,100,holdout_Re25,train
G01_R0272,100,holdout_Re25,train
G01_R0273,100,holdout_Re25,train
G01_R0274,100,holdout_Re25,train
G01_R0275,100,holdout_Re25,train
G01_R0276,100,holdout_Re25,train
G01_R0277,100,holdout_Re25,train
G01_R0278,100,holdout_Re25,train
G01_R0279,100,holdout_Re25,train
G01_R0280,100,holdout_Re25,train
G01_R0281,100,holdout_Re25,train
G01_R0282,100,holdout_Re25,train
G01_R0283,100,holdout_Re25,train
G01_R0284,100,holdout_Re25,train
G01_R0285,100,holdout_Re25,train
G01_R0286,100,holdout_Re25,train
G01_R0287,100,holdout_Re25,train
G01_R0288,100,holdout_Re25,train
G01_R0289,100,holdout_Re25,train
G01_R0290,100,holdout_Re25,train
G01_R0291,100,holdout_Re25,train
G01_R0292,100,holdout_Re25,train
G01_R0293,100,holdout_Re25,train
G01_R0294,100,holdout_Re25,train
G01_R0295,100,holdout_Re25,train
G01_R0296,100,holdout_Re25,train
G01_R0297,100,holdout_Re25,train
G01_R0298,100,holdout_Re25,train
G01_R0299,100,holdout_Re25,train
G01_R0300,100,holdout_Re25,train
G01_R0301,100,holdout_Re25,train
G01_R0302,100,holdout_Re25,train
G01_R0303,100,holdout_Re25,train
G01_R0304,100,holdout_Re25,train
G01_R0305,100,holdout_Re25,train
G01_R0306,100,holdout_Re25,train
G01_R0307,100,holdout_Re25,train
G01_R0308,100,holdout_Re25,train
G01_R0309,100,holdout_Re25,train
G01_R0310,100,holdout_Re25,train
G01_R0311,100,holdout_Re25,train
G01_R0312,100,holdout_Re25,train
G01_R0313,100,holdout_Re25,train
G01_R0314,100,holdout_Re25,train
G01_R0315,100,holdout_Re25,train
G01_R0316,100,holdout_Re25,train
G01_R0317,100,holdout_Re25,train
G01_R0318,100,holdout_Re25,train
G01_R0319,100,holdout_Re25,train
G01_R0320,100,holdout_Re25,train
G01_R0321,100,holdout_Re25,train
G01_R0322,100,holdout_Re25,train
G01_R0323,100,holdout_Re25,train
G01_R0324,100,holdout_Re25,train
G01_R0325,100,holdout_Re25,train
G01_R0326,100,holdout_Re25,train
G01_R0327,100,holdout_Re25,train
G01_R0328,100,holdout_Re25,train
G01_R0329,100,holdout_Re25,train
G01_R0330,100,holdout_Re25,train
G01_R0331,100,holdout_Re25,train
G01_R0332,100,holdout_Re25,train
G01_R0333,100,holdout_Re25,train
G01_R0334,100,holdout_Re25,train
G01_R0335,100,holdout_Re25,train
G01_R0336,100,holdout_Re25,train
G01_R0337,100,holdout_Re25,train
G01_R0338,100,holdout_Re25,train
G01_R0339,100,holdout_Re25,train
G01_R0340,100,holdout_Re25,train
G01_R0341,100,holdout_Re25,train
G01_R0342,100,holdout_Re25,train
G01_R0343,100,holdout_Re25,train
G01_R0344,100,holdout_Re25,train
G01_R0345,100,holdout_Re25,train
G01_R0346,100,holdout_Re25,train
G01_R0347,100,holdout_Re25,train
G01_R0348,100,holdout_Re25,train
G01_R0349,100,holdout_Re25,train
G01_R0350,100,holdout_Re25,train
G01_R0351,100,holdout_Re25,train
G01_R0352,100,holdout_Re25,train
G01_R0353,100,holdout_Re25,train
G01_R0354,100,holdout_Re25,train
G01_R0355,100,holdout_Re25,train
G01_R0356,100,holdout_Re25,train
G01_R0357,100,holdout_Re25,train
G01_R0358,100,holdout_Re25,train
G01_R0359,100,holdout_Re25,train
G01_R0360,100,holdout_Re25,train
G01_R0361,100,holdout_Re25,train
G01_R0362,100,holdout_Re25,train
G01_R0363,100,holdout_Re25,train
G01_R0364,100,holdout_Re25,train
G01_R0365,100,holdout_Re25,train
G01_R0366,100,holdout_Re25,train
G01_R0367,100,holdout_Re25,train
G01_R0368,100,holdout_Re25,train
G01_R0369,100,holdout_Re25,train
G01_R0370,100,holdout_Re25,train
G01_R0371,100,holdout_Re25,train
G01_R0372,100,holdout_Re25,train
G01_R0373,100,holdout_Re25,train
G01_R0374,100,holdout_Re25,train
G01_R0375,100,holdout_Re25,train
G01_R0376,100,holdout_Re25,train
G01_R0377,100,holdout_Re25,train
G01_R0378,100,holdout_Re25,train
G01_R0379,100,holdout_Re25,train
G01_R0380,100,holdout_Re25,train
G01_R0381,100,holdout_Re25,train
G01_R0382,100,holdout_Re25,train
G01_R0383,100,holdout_Re25,train
G01_R0384,100,holdout_Re25,train
G01_R0385,250,holdout_Re25,train
G01_R0386,250,holdout_Re25,train
G01_R0387,250,holdout_Re25,train
G01_R0388,250,holdout_Re25,train
G01_R0389,250,holdout_Re25,train
G01_R0390,250,holdout_Re25,train
G01_R0391,250,holdout_Re25,train
G01_R0392,250,holdout_Re25,train
G01_R0393,250,holdout_Re25,train
G01_R0394,250,holdout_Re25,train
G01_R0395,250,holdout_Re25,train
G01_R0396,250,holdout_Re25,train
G01_R0397,250,holdout_Re25,train
G01_R0398,250,holdout_Re25,train
G01_R0399,250,holdout_Re25,train
G01_R0400,250,holdout_Re25,train
G01_R0401,250,holdout_Re25,train
G01_R0402,250,holdout_Re25,train
G01_R0403,250,holdout_Re25,train
G01_R0404,250,holdout_Re25,train
G01_R0405,250,holdout_Re25,train
G01_R0406,250,holdout_Re25,train
G01_R0407,250,holdout_Re25,train
G01_R0408,250,holdout_Re25,train
G01_R0409,250,holdout_Re25,train
G01_R0410,250,holdout_Re25,train
G01_R0411,250,holdout_Re25,train
G01_R0412,250,holdout_Re25,train
G01_R0413,250,holdout_Re25,train
G01_R0414,250,holdout_Re25,train
G01_R0415,250,holdout_Re25,train
G01_R0416,250,holdout_Re25,train
G01_R0417,250,holdout_Re25,train
G01_R0418,250,holdout_Re25,train
G01_R0419,250,holdout_Re25,train
G01_R0420,250,holdout_Re25,train
G01_R0421,250,holdout_Re25,train
G01_R0422,250,holdout_Re25,train
G01_R0423,250,holdout_Re25,train
G01_R0424,250,holdout_Re25,train
G01_R0425,250,holdout_Re25,train
G01_R0426,250,holdout_Re25,train
G01_R0427,250,holdout_Re25,train
G01_R0428,250,holdout_Re25,train
G01_R0429,250,holdout_Re25,train
G01_R0430,250,holdout_Re25,train
G01_R0431,250,holdout_Re25,train
G01_R0432,250,holdout_Re25,train
G01_R0433,250,holdout_Re25,train
G01_R0434,250,holdout_Re25,train
G01_R0435,250,holdout_Re25,train
G01_R0436,250,holdout_Re25,train
G01_R0437,250,holdout_Re25,train
G01_R0438,250,holdout_Re25,train
G01_R0439,250,holdout_Re25,train
G01_R0440,250,holdout_Re25,train
G01_R0441,250,holdout_Re25,train
G01_R0442,250,holdout_Re25,train
G01_R0443,250,holdout_Re25,train
G01_R0444,250,holdout_Re25,train
G01_R0445,250,holdout_Re25,train
G01_R0446,250,holdout_Re25,train
G01_R0447,250,holdout_Re25,train
G01_R0448,250,holdout_Re25,train
G01_R0449,250,holdout_Re25,train
G01_R0450,250,holdout_Re25,train
G01_R0451,250,holdout_Re25,train
G01_R0452,250,holdout_Re25,train
G01_R0453,250,holdout_Re25,train
G01_R0454,250,holdout_Re25,train
G01_R0455,250,holdout_Re25,train
G01_R0456,250,holdout_Re25,train
G01_R0457,250,holdout_Re25,train
G01_R0458,250,holdout_Re25,train
G01_R0459,250,holdout_Re25,train
G01_R0460,250,holdout_Re25,train
G01_R0461,250,holdout_Re25,train
G01_R0462,250,holdout_Re25,train
G01_R0463,250,holdout_Re25,train
G01_R0464,250,holdout_Re25,train
G01_R0465,250,holdout_Re25,train
G01_R0466,250,holdout_Re25,train
G01_R0467,250,holdout_Re25,train
G01_R0468,250,holdout_Re25,train
G01_R0469,250,holdout_Re25,train
G01_R0470,250,holdout_Re25,train
G01_R0471,250,holdout_Re25,train
G01_R0472,250,holdout_Re25,train
G01_R0473,250,holdout_Re25,train
G01_R0474,250,holdout_Re25,train
G01_R0475,250,holdout_Re25,train
G01_R0476,250,holdout_Re25,train
G01_R0477,250,holdout_Re25,train
G01_R0478,250,holdout_Re25,train
G01_R0479,250,holdout_Re25,train
G01_R0480,250,holdout_Re25,train
G01_R0481,250,holdout_Re25,train
G01_R0482,250,holdout_Re25,train
G01_R0483,250,holdout_Re25,train
G01_R0484,250,holdout_Re25,train
G01_R0485,250,holdout_Re25,train
G01_R0486,250,holdout_Re25,train
G01_R0487,250,holdout_Re25,train
G01_R0488,250,holdout_Re25,train
G01_R0489,250,holdout_Re25,train
G01_R0490,250,holdout_Re25,train
G01_R0491,250,holdout_Re25,train
G01_R0492,250,holdout_Re25,train
G01_R0493,250,holdout_Re25,train
G01_R0494,250,holdout_Re25,train
G01_R0495,250,holdout_Re25,train
G01_R0496,250,holdout_Re25,train
G01_R0497,250,holdout_Re25,train
G01_R0498,250,holdout_Re25,train
G01_R0499,250,holdout_Re25,train
G01_R0500,250,holdout_Re25,train
G01_R0501,250,holdout_Re25,train
G01_R0502,250,holdout_Re25,train
G01_R0503,250,holdout_Re25,train
G01_R0504,250,holdout_Re25,train
G01_R0505,250,holdout_Re25,train
G01_R0506,250,holdout_Re25,train
G01_R0507,250,holdout_Re25,train
G01_R0508,250,holdout_Re25,train
G01_R0509,250,holdout_Re25,train
G01_R0510,250,holdout_Re25,train
G01_R0511,250,holdout_Re25,train
G01_R0512,250,holdout_Re25,train
G01_R0513,250,holdout_Re25,train
G01_R0514,250,holdout_Re25,train
G01_R0515,250,holdout_Re25,train
G01_R0516,250,holdout_Re25,train
G01_R0517,250,holdout_Re25,train
G01_R0518,250,holdout_Re25,train
G01_R0519,250,holdout_Re25,train
G01_R0520,250,holdout_Re25,train
G01_R0521,250,holdout_Re25,train
G01_R0522,250,holdout_Re25,train
G01_R0523,250,holdout_Re25,train
G01_R0524,250,holdout_Re25,train
G01_R0525,250,holdout_Re25,train
G01_R0526,250,holdout_Re25,train
G01_R0527,250,holdout_Re25,train
G01_R0528,250,holdout_Re25,train
G01_R0529,250,holdout_Re25,train
G01_R0530,250,holdout_Re25,train
G01_R0531,250,holdout_Re25,train
G01_R0532,250,holdout_Re25,train
G01_R0533,250,holdout_Re25,train
G01_R0534,250,holdout_Re25,train
G01_R0535,250,holdout_Re25,train
G01_R0536,250,holdout_Re25,train
G01_R0537,250,holdout_Re25,train
G01_R0538,250,holdout_Re25,train
G01_R0539,250,holdout_Re25,train
G01_R0540,250,holdout_Re25,train
G01_R0541,250,holdout_Re25,train
G01_R0542,250,holdout_Re25,train
G01_R0543,250,holdout_Re25,train
G01_R0544,250,holdout_Re25,train
G01_R0545,250,holdout_Re25,train
G01_R0546,250,holdout_Re25,train
G01_R0547,250,holdout_Re25,train
G01_R0548,250,holdout_Re25,train
G01_R0549,250,holdout_Re25,train
G01_R0550,250,holdout_Re25,train
G01_R0551,250,holdout_Re25,train
G01_R0552,250,holdout_Re25,train
G01_R0553,250,holdout_Re25,train
G01_R0554,250,holdout_Re25,train
G01_R0555,250,holdout_Re25,train
G01_R0556,250,holdout_Re25,train
G01_R0557,250,holdout_Re25,train
G01_R0558,250,holdout_Re25,train
G01_R0559,250,holdout_Re25,train
G01_R0560,250,holdout_Re25,train
G01_R0561,250,holdout_Re25,train
G01_R0562,250,holdout_Re25,train
G01_R0563,250,holdout_Re25,train
G01_R0564,250,holdout_Re25,train
G01_R0565,250,holdout_Re25,train
G01_R0566,250,holdout_Re25,train
G01_R0567,250,holdout_Re25,train
G01_R0568,250,holdout_Re25,train
G01_R0569,250,holdout_Re25,train
G01_R0570,250,holdout_Re25,train
G01_R0571,250,holdout_Re25,train
G01_R0572,250,holdout_Re25,train
G01_R0573,250,holdout_Re25,train
G01_R0574,250,holdout_Re25,train
G01_R0575,250,holdout_Re25,train
G01_R0576,250,holdout_Re25,train
G01_R0577,500,holdout_Re25,train
G01_R0578,500,holdout_Re25,train
G01_R0579,500,holdout_Re25,train
G01_R0580,500,holdout_Re25,train
G01_R0581,500,holdout_Re25,train
G01_R0582,500,holdout_Re25,train
G01_R0583,500,holdout_Re25,train
G01_R0584,500,holdout_Re25,train
G01_R0585,500,holdout_Re25,train
G01_R0586,500,holdout_Re25,train
G01_R0587,500,holdout_Re25,train
G01_R0588,500,holdout_Re25,train
G01_R0589,500,holdout_Re25,train
G01_R0590,500,holdout_Re25,train
G01_R0591,500,holdout_Re25,train
G01_R0592,500,holdout_Re25,train
G01_R0593,500,holdout_Re25,train
G01_R0594,500,holdout_Re25,train
G01_R0595,500,holdout_Re25,train
G01_R0596,500,holdout_Re25,train
G01_R0597,500,holdout_Re25,train
G01_R0598,500,holdout_Re25,train
G01_R0599,500,holdout_Re25,train
G01_R0600,500,holdout_Re25,train
G01_R0601,500,holdout_Re25,train
G01_R0602,500,holdout_Re25,train
G01_R0603,500,holdout_Re25,train
G01_R0604,500,holdout_Re25,train
G01_R0605,500,holdout_Re25,train
G01_R0606,500,holdout_Re25,train
G01_R0607,500,holdout_Re25,train
G01_R0608,500,holdout_Re25,train
G01_R0609,500,holdout_Re25,train
G01_R0610,500,holdout_Re25,train
G01_R0611,500,holdout_Re25,train
G01_R0612,500,holdout_Re25,train
G01_R0613,500,holdout_Re25,train
G01_R0614,500,holdout_Re25,train
G01_R0615,500,holdout_Re25,train
G01_R0616,500,holdout_Re25,train
G01_R0617,500,holdout_Re25,train
G01_R0618,500,holdout_Re25,train
G01_R0619,500,holdout_Re25,train
G01_R0620,500,holdout_Re25,train
G01_R0621,500,holdout_Re25,train
G01_R0622,500,holdout_Re25,train
G01_R0623,500,holdout_Re25,train
G01_R0624,500,holdout_Re25,train
G01_R0625,500,holdout_Re25,train
G01_R0626,500,holdout_Re25,train
G01_R0627,500,holdout_Re25,train
G01_R0628,500,holdout_Re25,train
G01_R0629,500,holdout_Re25,train
G01_R0630,500,holdout_Re25,train
G01_R0631,500,holdout_Re25,train
G01_R0632,500,holdout_Re25,train
G01_R0633,500,holdout_Re25,train
G01_R0634,500,holdout_Re25,train
G01_R0635,500,holdout_Re25,train
G01_R0636,500,holdout_Re25,train
G01_R0637,500,holdout_Re25,train
G01_R0638,500,holdout_Re25,train
G01_R0639,500,holdout_Re25,train
G01_R0640,500,holdout_Re25,train
G01_R0641,500,holdout_Re25,train
G01_R0642,500,holdout_Re25,train
G01_R0643,500,holdout_Re25,train
G01_R0644,500,holdout_Re25,train
G01_R0645,500,holdout_Re25,train
G01_R0646,500,holdout_Re25,train
G01_R0647,500,holdout_Re25,train
G01_R0648,500,holdout_Re25,train
G01_R0649,500,holdout_Re25,train
G01_R0650,500,holdout_Re25,train
G01_R0651,500,holdout_Re25,train
G01_R0652,500,holdout_Re25,train
G01_R0653,500,holdout_Re25,train
G01_R0654,500,holdout_Re25,train
G01_R0655,500,holdout_Re25,train
G01_R0656,500,holdout_Re25,train
G01_R0657,500,holdout_Re25,train
G01_R0658,500,holdout_Re25,train
G01_R0659,500,holdout_Re25,train
G01_R0660,500,holdout_Re25,train
G01_R0661,500,holdout_Re25,train
G01_R0662,500,holdout_Re25,train
G01_R0663,500,holdout_Re25,train
G01_R0664,500,holdout_Re25,train
G01_R0665,500,holdout_Re25,train
G01_R0666,500,holdout_Re25,train
G01_R0667,500,holdout_Re25,train
G01_R0668,500,holdout_Re25,train
G01_R0669,500,holdout_Re25,train
G01_R0670,500,holdout_Re25,train
G01_R0671,500,holdout_Re25,train
G01_R0672,500,holdout_Re25,train
G01_R0673,500,holdout_Re25,train
G01_R0674,500,holdout_Re25,train
G01_R0675,500,holdout_Re25,train
G01_R0676,500,holdout_Re25,train
G01_R0677,500,holdout_Re25,train
G01_R0678,500,holdout_Re25,train
G01_R0679,500,holdout_Re25,train
G01_R0680,500,holdout_Re25,train
G01_R0681,500,holdout_Re25,train
G01_R0682,500,holdout_Re25,train
G01_R0683,500,holdout_Re25,train
G01_R0684,500,holdout_Re25,train
G01_R0685,500,holdout_Re25,train
G01_R0686,500,holdout_Re25,train
G01_R0687,500,holdout_Re25,train
G01_R0688,500,holdout_Re25,train
G01_R0689,500,holdout_Re25,train
G01_R0690,500,holdout_Re25,train
G01_R0691,500,holdout_Re25,train
G01_R0692,500,holdout_Re25,train
G01_R0693,500,holdout_Re25,train
G01_R0694,500,holdout_Re25,train
G01_R0695,500,holdout_Re25,train
G01_R0696,500,holdout_Re25,train
G01_R0697,500,holdout_Re25,train
G01_R0698,500,holdout_Re25,train
G01_R0699,500,holdout_Re25,train
G01_R0700,500,holdout_Re25,train
G01_R0701,500,holdout_Re25,train
G01_R0702,500,holdout_Re25,train
G01_R0703,500,holdout_Re25,train
G01_R0704,500,holdout_Re25,train
G01_R0705,500,holdout_Re25,train
G01_R0706,500,holdout_Re25,train
G01_R0707,500,holdout_Re25,train
G01_R0708,500,holdout_Re25,train
G01_R0709,500,holdout_Re25,train
G01_R0710,500,holdout_Re25,train
G01_R0711,500,holdout_Re25,train
G01_R0712,500,holdout_Re25,train
G01_R0713,500,holdout_Re25,train
G01_R0714,500,holdout_Re25,train
G01_R0715,500,holdout_Re25,train
G01_R0716,500,holdout_Re25,train
G01_R0717,500,holdout_Re25,train
G01_R0718,500,holdout_Re25,train
G01_R0719,500,holdout_Re25,train
G01_R0720,500,holdout_Re25,train
G01_R0721,500,holdout_Re25,train
G01_R0722,500,holdout_Re25,train
G01_R0723,500,holdout_Re25,train
G01_R0724,500,holdout_Re25,train
G01_R0725,500,holdout_Re25,train
G01_R0726,500,holdout_Re25,train
G01_R0727,500,holdout_Re25,train
G01_R0728,500,holdout_Re25,train
G01_R0729,500,holdout_Re25,train
G01_R0730,500,holdout_Re25,train
G01_R0731,500,holdout_Re25,train
G01_R0732,500,holdout_Re25,train
G01_R0733,500,holdout_Re25,train
G01_R0734,500,holdout_Re25,train
G01_R0735,500,holdout_Re25,train
